,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
More information,,https://www.eex.com/en/markets/environmental-markets/emissions-auctions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,EEX Emissions market / Primary Market Auction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
References,,,,,Prices,,,,,Volumes,,,,,,,,,,,Participants,,Revenue,,Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Auction Name,Contract,Status,Auction Price €/tCO2,Minimum Bid €/tCO2,Maximum Bid €/tCO2,Mean €/tCO2,Median €/tCO2,Auction Volume tCO2,Total Amount of Bids,Number of bids submitted,Number of successful bids,Average number of bids per bidder,Average bid size,Average volume bid per bidder,Standard deviation of bid volume per bidder,Average volume won per bidder,Standard deviation of volume won per bidder,Cover Ratio,Total Number of Bidders,Number of Successful Bidders,Total Revenue €,Country,"Austria
(AT)","Belgium
(BE)","Bulgaria
(BG)","Cyprus
(CY)","Czech Republic
(CZ)","Germany
(DE)","Denmark
(DK)","Estonia
(EE)","Greece
(EL)","Spain
(ES)","Finland
(FI)","France
(FR)","Croatia
(HR)","Hungary
(HU)","Ireland
(IE)","Innovation Fund
(IF)","Iceland
(IS)","Italy
(IT)","Liechtenstein
(LI)","Lithuania
(LT)","Luxembourg
(LU)","Latvia
(LV)","Malta
(MT)","Netherlands
(NL)","Norway
(NO)","Poland
(PL)","Portugal
(PT)","Romania
(RO)","Sweden
(SE)","Slovenia
(SI)","Slovakia
(SK)"
14.12.2020,11:01,Auction 3. Period CAP2-EU,T3PA,successful,30.92,30.00,35.00,31.05,30.93,"3,959,500","7,125,500",98,50,3.92,"72,709","285,020","592,590","172,152","279,648",1.80,25,23,"122,427,740",EU,"1,855,200","3,803,160","4,467,940","680,240","7,559,940",,"1,437,780","1,205,880","5,426,460","12,352,540","2,040,720","7,776,380","881,220","2,210,780","1,051,280","27,456,960","170,060","13,496,580",0,"726,620","324,660","649,320","170,060","4,529,780","7,281,660",,"2,720,960","7,915,520","1,236,800","680,240","2,319,000"
11.12.2020,11:01,Auction 3. Period DE,T3PA,successful,30.45,0.01,40.00,29.73,30.26,"2,598,500","4,595,500",80,20,3.20,"57,444","183,820","230,716","185,607","235,489",1.77,25,14,"79,124,325",DE,,,,,,"79,124,325",,,,,,,,,,,,,,,,,,,,,,,,,
10.12.2020,11:01,Auction 3. Period CAP2-EU,T3PA,successful,30.04,27.00,35.00,30.34,30.02,"3,951,500","5,872,500",104,51,4.00,"56,466","225,865","351,387","188,167","321,720",1.49,26,21,"118,703,060",EU,"1,847,460","3,544,720","4,400,860","375,500","7,104,460",,"1,667,220","1,411,880","5,001,660","12,256,320","2,222,960","7,254,660","705,940","2,237,980","1,246,660","26,345,080","360,480","12,917,200",0,"856,140","165,220","405,540","150,200","4,445,920","7,089,440",,"2,523,360","7,885,500","1,246,660","645,860","2,388,180"
08.12.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,29.69,27.00,35.00,29.82,29.69,"3,951,500","6,804,000",88,44,3.83,"77,318","295,826","323,633","197,575","250,030",1.72,23,20,"117,320,035",EU,"1,825,935","3,503,420","4,349,585","371,125","7,021,685",,"1,647,795","1,395,430","4,943,385","12,113,520","2,197,060","7,170,135","697,715","2,211,905","1,232,135","26,038,130","356,280","12,766,700",0,"846,165","163,295","400,815","148,450","4,394,120","7,006,840",,"2,493,960","7,793,625","1,232,135","638,335","2,360,355"
07.12.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,29.49,27.00,33.00,29.55,29.49,"3,951,500","5,814,500",93,46,3.72,"62,522","232,580","350,435","197,575","313,674",1.47,25,20,"116,529,735",EU,"1,813,635","3,479,820","4,320,285","368,625","6,974,385",,"1,636,695","1,386,030","4,910,085","12,031,920","2,182,260","7,121,835","693,015","2,197,005","1,223,835","25,862,730","353,880","12,680,700",0,"840,465","162,195","398,115","147,450","4,364,520","6,959,640",,"2,477,160","7,741,125","1,223,835","634,035","2,344,455"
04.12.2020,11:00,Auction 3. Period DE,T3PA,successful,30.00,27.00,31.00,29.77,29.81,"2,593,000","4,164,000",86,21,3.58,"48,419","173,500","213,046","172,867","247,842",1.61,24,15,"77,790,000",DE,,,,,,"77,790,000",,,,,,,,,,,,,,,,,,,,,,,,,
03.12.2020,11:01,Auction 3. Period CAP2-EU,T3PA,successful,29.10,27.00,31.00,29.12,29.05,"3,951,500","5,509,500",94,39,3.36,"58,612","196,768","256,098","164,646","223,987",1.39,28,24,"114,988,650",EU,"1,789,650","3,433,800","4,263,150","363,750","6,882,150",,"1,615,050","1,367,700","4,845,150","11,872,800","2,153,400","7,027,650","683,850","2,167,950","1,207,650","25,520,700","349,200","12,513,000",0,"829,350","160,050","392,850","145,500","4,306,800","6,867,600",,"2,444,400","7,638,750","1,207,650","625,650","2,313,450"
02.12.2020,11:01,Auction 3. Period CAP2-PL,T3PA,successful,28.90,27.00,34.00,28.93,28.67,"6,398,500","9,157,500",108,35,4.50,"84,792","381,563","528,087","492,192","543,299",1.43,24,13,"184,916,650",PL,,,,,,,,,,,,,,,,,,,,,,,,,,"184,916,650",,,,,
01.12.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,29.24,27.00,33.00,29.38,29.31,"3,951,500","5,357,000",89,60,3.71,"60,191","223,208","353,786","197,575","370,024",1.36,24,20,"115,541,860",EU,"1,798,260","3,450,320","4,283,660","365,500","6,915,260",,"1,622,820","1,374,280","4,868,460","11,929,920","2,163,760","7,061,460","687,140","2,178,380","1,213,460","25,643,480","350,880","12,573,200",0,"833,340","160,820","394,740","146,200","4,327,520","6,900,640",,"2,456,160","7,675,500","1,213,460","628,660","2,324,580"
30.11.2020,11:01,Auction 3. Period CAP2-EU,T3PA,successful,28.82,27.00,33.00,28.96,28.78,"3,951,500","6,265,000",97,47,3.73,"64,588","240,962","367,099","207,974","312,850",1.59,26,19,"113,882,230",EU,"1,772,430","3,400,760","4,222,130","360,250","6,815,930",,"1,599,510","1,354,540","4,798,530","11,758,560","2,132,680","6,960,030","677,270","2,147,090","1,196,030","25,275,140","345,840","12,392,600",0,"821,370","158,510","389,070","144,100","4,265,360","6,801,520",,"2,420,880","7,565,250","1,196,030","619,630","2,291,190"
27.11.2020,11:01,Auction 3. Period DE,T3PA,successful,28.23,27.00,33.00,28.42,28.24,"2,593,000","4,269,500",79,44,3.04,"54,044","164,212","206,781","117,864","134,731",1.65,26,22,"73,200,390",DE,,,,,,"73,200,390",,,,,,,,,,,,,,,,,,,,,,,,,
26.11.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,27.77,27.00,30.00,27.72,27.65,"3,951,500","6,075,000",97,29,3.73,"62,629","233,654","422,885","219,528","413,389",1.54,26,18,"109,733,155",EU,"1,707,855","3,276,860","4,068,305","347,125","6,567,605",,"1,541,235","1,305,190","4,623,705","11,330,160","2,054,980","6,706,455","652,595","2,068,865","1,152,455","24,354,290","333,240","11,941,100",0,"791,445","152,735","374,895","138,850","4,109,960","6,553,720",,"2,332,680","7,289,625","1,152,455","597,055","2,207,715"
24.11.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,26.97,26.06,30.00,27.01,26.95,"3,951,500","5,933,500",103,49,3.55,"57,607","204,603","357,664","164,646","284,094",1.50,29,24,"106,571,955",EU,"1,658,655","3,182,460","3,951,105","337,125","6,378,405",,"1,496,835","1,267,590","4,490,505","11,003,760","1,995,780","6,513,255","633,795","2,009,265","1,119,255","23,652,690","323,640","11,597,100",0,"768,645","148,335","364,095","134,850","3,991,560","6,364,920",,"2,265,480","7,079,625","1,119,255","579,855","2,144,115"
23.11.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,27.25,26.00,32.00,27.41,27.25,"3,951,500","6,090,000",105,53,3.39,"58,000","196,452","301,268","158,060","227,874",1.54,31,25,"107,678,375",EU,"1,675,875","3,215,500","3,992,125","340,625","6,444,625",,"1,512,375","1,280,750","4,537,125","11,118,000","2,016,500","6,580,875","640,375","2,030,125","1,130,875","23,898,250","327,000","11,717,500",0,"776,625","149,875","367,875","136,250","4,033,000","6,431,000",,"2,289,000","7,153,125","1,130,875","585,875","2,166,375"
