url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,_query_id,relevance_score,relevance_hits,cheap_gate_pass,cheap_gate_hits
http://www.eurasiareview.com/31012017-action-needed-to-make-stagnant-co2-emissions-fall/,,Action Needed To Make Stagnant CO2 Emissions Fall – Eurasia Review,2017-01-31 08:30:00+00:00,https://i0.wp.com/www.eurasiareview.com/wp-content/uploads/2017/01/w-61.jpg?fit=825%2C510,eurasiareview.com,English,United States,2,4,eu_context;carbon_terms=2,True,out_of_scope
http://carbon-pulse.com/29837/,,"EU Market : EUAs rise for 2nd day to eye €5 . 60 test , break",2017-01-31 21:45:00+00:00,,carbon-pulse.com,English,France,1,9,eu_ets_strong;eu_context;carbon_terms=1,True,out_of_scope
http://www.openpr.com/news/425701/The-Biopellets-Energy-Market-has-been-significantly-gaining-from-favorable-government-regulations-aimed-at-curbing-carbon-emission-by-increasing-reliance-on-renewable-energy-for-the-purpose-of-generating-power-2024.html,,The Biopellets Energy Market has been significantly gaining from favorable government regulations aimed at curbing carbon emission by increasing reliance on renewable energy for the purpose of generating power : 2024,2017-01-31 22:00:00+00:00,,openpr.com,English,Germany,2,4,carbon_terms=3;energy_driver,True,out_of_scope
http://www.mondovisione.com/media-and-resources/news/eex-trading-results-for-january-2017-eex-increases-volumes-in-power-options-an/,,EEX Trading Results For January 2017,2017-02-01 16:45:00+00:00,,mondovisione.com,English,United States,1,7,eu_ets_strong;carbon_terms=1,True,out_of_scope
http://carbon-pulse.com/29889/,,EU Market : EUAs hold on to recent gains as experts diverge on next moves « Carbon Pulse,2017-02-01 21:45:00+00:00,,carbon-pulse.com,English,France,1,10,eu_ets_strong;eu_context;carbon_terms=2,True,out_of_scope
http://www.4-traders.com/news/EEX-Auction-News-EU-Auction--23799037/,http://www.4-traders.com/amp/news/EEX-Auction-News-EU-Auction--23799037/,EEX Auction News : EU Auction,2017-02-02 10:30:00+00:00,,4-traders.com,English,United States,1,9,eu_ets_strong;eu_context;carbon_terms=1,True,out_of_scope
http://www.cemnet.com/News/story/161006/cembureau-calls-for-maintaining-free-eu-ets-allowances-for-best-performers.html,,Cembureau calls for maintaining free EU ETS allowances for best performers,2017-02-02 11:00:00+00:00,,cemnet.com,English,United States,1,10,eu_ets_strong;eu_context;carbon_terms=2,True,out_of_scope
http://www.hedgeweek.com/2017/02/02/248224/eex-increases-volumes-power-options-and-agricultural-products,,EEX increases volumes in power options and agricultural products,2017-02-02 11:30:00+00:00,http://www.hedgeweek.com/sites/default/files/imagecache/facebook_200_square/image_library/Graphs/Arrow%20up.jpg,hedgeweek.com,English,United States,1,7,eu_ets_strong;energy_driver,True,out_of_scope
https://www.yahoo.com/news/foreign-flights-slip-under-radar-eu-emissions-limits-110844454--finance.html,https://www.yahoo.com/amphtml/news/foreign-flights-slip-under-radar-eu-emissions-limits-110844454--finance.html,Foreign flights to slip under the radar of EU emissions limits,2017-02-03 11:30:00+00:00,https://s.yimg.com/os/mit/media/m/social/images/social_default_logo-1481777.png,yahoo.com,English,United States,1,4,eu_context;carbon_terms=2,True,out_of_scope
http://m.kauppalehti.fi/uutiset/reuters-foreign-flights-to-slip-under-the-radar-of-eu-emissions-limits/yYdU6CYc,,REUTERS : Foreign flights to slip under the radar of EU emissions limits,2017-02-03 13:15:00+00:00,,m.kauppalehti.fi,English,Finland,1,4,eu_context;carbon_terms=2,True,out_of_scope
https://www.neweurope.eu/press-release/the-eu-tackles-growing-aviation-emissions/,,The EU tackles growing aviation emissions,2017-02-03 14:15:00+00:00,https://www.neweurope.eu/wp-content/uploads/2015/09/111InTheNews.jpg,neweurope.eu,English,,1,4,eu_context;carbon_terms=2,True,out_of_scope
http://www.4-traders.com/news/No-to-discrimination-Chemical-industry-calls-for-fair-emissions-trading-system--23809387/,http://www.4-traders.com/amp/news/No-to-discrimination-Chemical-industry-calls-for-fair-emissions-trading-system--23809387/,No to discrimination : Chemical industry calls for fair emissions trading system,2017-02-03 16:00:00+00:00,,4-traders.com,English,United States,1,9,eu_ets_strong;carbon_terms=3,True,out_of_scope
http://carbon-pulse.com/30043/,,EU Market : EUAs slip again on light selling but hold bulk of week ’ s gains « Carbon Pulse,2017-02-03 21:00:00+00:00,,carbon-pulse.com,English,France,1,10,eu_ets_strong;eu_context;carbon_terms=2,True,out_of_scope
https://www.environmentalleader.com/2017/02/europe-rethink-calculates-carbon-emissions-aviation/,,Europe to Rethink How it Calculates Carbon Emissions from Aviation,2017-02-03 21:30:00+00:00,https://www.environmentalleader.com/wp-content/uploads/2017/02/2017-02-03_14-09-42-e1486149019158.jpg,environmentalleader.com,English,United States,1,5,eu_context;carbon_terms=3,True,out_of_scope
https://www.traveldailynews.com/post/european-commission-adopts-proposal-for-aviation-emissions-trading-system,,European Commission adopts proposal for aviation emissions trading system,2017-02-06 12:45:00+00:00,https://www.traveldailynews.com/assets/thumbnails/c4/c44fa128f003e3e307d4d86f8dcce599.jpg,traveldailynews.com,English,United States,1,11,eu_ets_strong;eu_context;carbon_terms=3,True,eu_ets_strong
http://www.breakingtravelnews.com/news/article/airlines-for-europe-endorses-eu-emissions-proposals/,,Airlines for Europe endorses EU emissions proposals ,2017-02-06 14:00:00+00:00,http://www.breakingtravelnews.com/images/sized/images/uploads/transport/Generic-Plane-376x250.jpg,breakingtravelnews.com,English,United Kingdom,1,4,eu_context;carbon_terms=2,True,out_of_scope
