candidate,source,objective,run_dir,path_mse,h1,h5,h20,h30
old_reference_generic_data,imported,Original repeated-holdout W4 reference from the old generic Data tree.,/Users/davidwilkinson/Desktop/ETS 2/runs/20260316_225915_798bce,58.9789924621582,4.714263916015625,24.53902244567871,75.92779541015625,101.1852798461914
new_reference_current16,imported,Corrected UK-data-root W4 with new training and current16 feature slate.,/Users/davidwilkinson/Desktop/ETS 2/runs/20260319_200110_362947,102.83332824707033,11.390755653381348,26.95508575439453,127.08478546142578,218.5743865966797
new_reference_energy16,imported,Corrected UK-data-root W4 with new training and engineered energy16 feature slate.,/Users/davidwilkinson/Desktop/ETS 2/runs/20260319_200137_e26524,101.73527526855467,11.40880012512207,27.140268325805664,124.65435028076172,216.0431365966797
old_train_fullpacks_current16,rerun,Recreate the old training regime on the corrected UK data root with weather and proxy packs enabled.,/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_205314_9477be,105.96563720703124,10.160234451293944,23.61437606811523,135.6540069580078,242.56613159179688
old_train_no_weather_current13,rerun,"Old training regime on corrected UK data, but with weather disabled.",/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_205317_a5e4de,121.162841796875,10.247034072875977,24.13334846496582,154.3096466064453,290.3554382324219
old_train_no_proxy_current14,rerun,"Old training regime on corrected UK data, but with the UK auction proxy pack disabled.",/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_205318_62d01e,106.01754760742188,10.14920425415039,23.59542655944824,135.73927307128906,242.8564910888672
old_train_no_weather_proxy_current11,rerun,"Old training regime on corrected UK data, with both weather and proxy pack disabled.",/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_205320_6dc5d8,121.21927642822266,10.23521900177002,24.10749626159668,154.38784790039062,290.71624755859375
new_train_no_weather_current13,rerun,"New regularized Huber training on corrected UK data, with weather disabled.",/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_205321_f5d355,102.373291015625,11.412142753601074,27.09882354736328,126.18378448486328,217.4592132568359
new_train_no_proxy_current14,rerun,"New regularized Huber training on corrected UK data, with proxy pack disabled.",/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_205322_d7d80a,102.87870025634766,11.379732131958008,26.98407745361328,127.15435028076172,218.6678924560547
new_train_no_weather_proxy_current11,rerun,"New regularized Huber training on corrected UK data, with both weather and proxy pack disabled.",/Users/davidwilkinson/Desktop/ETS 2/runs/20260320_205324_ecfc47,102.4196319580078,11.401239395141602,27.12883186340332,126.2550048828125,217.55572509765625
