candidate,endpoint,config_path,base_model,objective,expectation,overrides_json
4b_tsm_verifier_conservative,4b,uk_ets/config/uk_ets_llm_4b_current_default.yaml,tsm,Recover the late-horizon TSM edge in online memory while preventing noisy recent cases from entering the bank.,Expected path MSE: 24.90-25.35. Expected gain vs base TSM: 1.1%-2.9%.,"{""llm"": {""base_model"": ""tsm"", ""cot_rf"": {""enable_delta_verifier_tool"": true, ""enable_numeric_tool"": true, ""force_delta_verifier_tool"": true, ""force_numeric_tool"": true, ""online_memory_policy"": {""enabled"": true, ""gate"": {""max_negative_signal"": 0.06, ""min_abs_base_h20_pct"": 0.2, ""min_net_signal"": 0.005, ""min_positive_examples"": 1, ""min_positive_signal"": 0.015}, ""max_total_examples"": 6, ""negative_examples"": 1, ""negative_margin"": -0.015, ""positive_examples"": 2, ""positive_margin"": 0.015, ""support_examples"": 3, ""warmup_min_realized"": 5}, ""realized_memory_horizon"": 30, ""test_pool_mode"": ""online_realized_memory""}}}"
4b_tsm_numeric_only_conservative,4b,uk_ets/config/uk_ets_llm_4b_current_default.yaml,tsm,Test whether the verifier is over-regularizing online TSM memory and whether numeric-only corrections carry the same signal with less clipping.,Expected path MSE: 25.00-25.45. Expected gain vs base TSM: 0.7%-2.5%.,"{""llm"": {""base_model"": ""tsm"", ""cot_rf"": {""enable_delta_verifier_tool"": false, ""enable_numeric_tool"": true, ""force_delta_verifier_tool"": false, ""force_numeric_tool"": true, ""online_memory_policy"": {""enabled"": true, ""gate"": {""max_negative_signal"": 0.07, ""min_abs_base_h20_pct"": 0.2, ""min_net_signal"": 0.005, ""min_positive_examples"": 1, ""min_positive_signal"": 0.015}, ""max_total_examples"": 6, ""negative_examples"": 1, ""negative_margin"": -0.015, ""positive_examples"": 2, ""positive_margin"": 0.015, ""support_examples"": 3, ""warmup_min_realized"": 5}, ""realized_memory_horizon"": 30, ""test_pool_mode"": ""online_realized_memory""}}}"
4b_linear_ridge_numeric_only,4b,uk_ets/config/uk_ets_llm_4b_current_default.yaml,linear_ridge,Exploit ridge's already-stable shape with long-horizon numeric correction and a cautious online memory gate.,Expected path MSE: 22.05-22.35. Expected gain vs base ridge: 0.6%-1.9%.,"{""llm"": {""base_model"": ""linear_ridge"", ""cot_rf"": {""enable_delta_verifier_tool"": false, ""enable_numeric_tool"": true, ""force_delta_verifier_tool"": false, ""force_numeric_tool"": true, ""online_memory_policy"": {""enabled"": true, ""gate"": {""max_negative_signal"": 0.05, ""min_abs_base_h20_pct"": 0.1, ""min_net_signal"": 0.002, ""min_positive_examples"": 1, ""min_positive_signal"": 0.01}, ""max_total_examples"": 6, ""negative_examples"": 1, ""negative_margin"": -0.01, ""positive_examples"": 2, ""positive_margin"": 0.01, ""support_examples"": 3, ""warmup_min_realized"": 4}, ""realized_memory_horizon"": 30, ""test_pool_mode"": ""online_realized_memory""}}}"
4b_linear_ridge_numeric_verifier,4b,uk_ets/config/uk_ets_llm_4b_current_default.yaml,linear_ridge,Test whether ridge benefits from extra verifier clipping once online memory selects only historically helpful regimes.,Expected path MSE: 22.10-22.40. Expected gain vs base ridge: 0.4%-1.7%.,"{""llm"": {""base_model"": ""linear_ridge"", ""cot_rf"": {""enable_delta_verifier_tool"": true, ""enable_numeric_tool"": true, ""force_delta_verifier_tool"": true, ""force_numeric_tool"": true, ""online_memory_policy"": {""enabled"": true, ""gate"": {""max_negative_signal"": 0.05, ""min_abs_base_h20_pct"": 0.1, ""min_net_signal"": 0.002, ""min_positive_examples"": 1, ""min_positive_signal"": 0.012}, ""max_total_examples"": 6, ""negative_examples"": 1, ""negative_margin"": -0.01, ""positive_examples"": 2, ""positive_margin"": 0.01, ""support_examples"": 3, ""warmup_min_realized"": 4}, ""realized_memory_horizon"": 30, ""test_pool_mode"": ""online_realized_memory""}}}"
4b_linear_lasso_numeric_only,4b,uk_ets/config/uk_ets_llm_4b_current_default.yaml,linear_lasso,Use a stricter online gate to protect the noisier lasso base while still letting the LLM repair large long-horizon miss cases.,Expected path MSE: 23.40-23.95. Expected gain vs base lasso: 1.2%-3.5%.,"{""llm"": {""base_model"": ""linear_lasso"", ""cot_rf"": {""enable_delta_verifier_tool"": false, ""enable_numeric_tool"": true, ""force_delta_verifier_tool"": false, ""force_numeric_tool"": true, ""online_memory_policy"": {""enabled"": true, ""gate"": {""max_negative_signal"": 0.05, ""min_abs_base_h20_pct"": 0.2, ""min_net_signal"": 0.005, ""min_positive_examples"": 1, ""min_positive_signal"": 0.015}, ""max_total_examples"": 6, ""negative_examples"": 1, ""negative_margin"": -0.015, ""positive_examples"": 2, ""positive_margin"": 0.015, ""support_examples"": 3, ""warmup_min_realized"": 5}, ""realized_memory_horizon"": 30, ""test_pool_mode"": ""online_realized_memory""}}}"
4b_linear_lasso_numeric_verifier,4b,uk_ets/config/uk_ets_llm_4b_current_default.yaml,linear_lasso,Check whether verifier clipping stabilizes lasso enough to turn noisy residuals into a cleaner online correction pathway.,Expected path MSE: 23.30-23.90. Expected gain vs base lasso: 1.4%-3.9%.,"{""llm"": {""base_model"": ""linear_lasso"", ""cot_rf"": {""enable_delta_verifier_tool"": true, ""enable_numeric_tool"": true, ""force_delta_verifier_tool"": true, ""force_numeric_tool"": true, ""online_memory_policy"": {""enabled"": true, ""gate"": {""max_negative_signal"": 0.05, ""min_abs_base_h20_pct"": 0.2, ""min_net_signal"": 0.006, ""min_positive_examples"": 1, ""min_positive_signal"": 0.016}, ""max_total_examples"": 6, ""negative_examples"": 1, ""negative_margin"": -0.015, ""positive_examples"": 2, ""positive_margin"": 0.015, ""support_examples"": 3, ""warmup_min_realized"": 5}, ""realized_memory_horizon"": 30, ""test_pool_mode"": ""online_realized_memory""}}}"
4b_naive_persistence_relaxed,4b,uk_ets/config/uk_ets_llm_4b_current_default.yaml,naive_persistence,See whether online memory can salvage a weak naive base by only applying LLM corrections on historically large profitable long-horizon miss cases.,Expected path MSE: 29.50-31.20. Expected gain vs naive: 2.7%-8.0%.,"{""llm"": {""base_model"": ""naive_persistence"", ""cot_rf"": {""enable_delta_verifier_tool"": true, ""enable_numeric_tool"": true, ""force_delta_verifier_tool"": true, ""force_numeric_tool"": true, ""online_memory_policy"": {""enabled"": true, ""gate"": {""max_negative_signal"": 0.06, ""min_abs_base_h20_pct"": 0.35, ""min_net_signal"": 0.005, ""min_positive_examples"": 1, ""min_positive_signal"": 0.015}, ""max_total_examples"": 7, ""negative_examples"": 1, ""negative_margin"": -0.015, ""positive_examples"": 2, ""positive_margin"": 0.02, ""support_examples"": 4, ""warmup_min_realized"": 5}, ""realized_memory_horizon"": 30, ""test_pool_mode"": ""online_realized_memory""}}}"
4b_seasonal_naive_relaxed,4b,uk_ets/config/uk_ets_llm_4b_current_default.yaml,seasonal_naive,Test whether selective online memory can convert seasonal naive into a viable long-horizon correction target without overtrading.,Expected path MSE: 31.00-33.20. Expected gain vs seasonal naive: 3.0%-9.5%.,"{""llm"": {""base_model"": ""seasonal_naive"", ""cot_rf"": {""enable_delta_verifier_tool"": true, ""enable_numeric_tool"": true, ""force_delta_verifier_tool"": true, ""force_numeric_tool"": true, ""online_memory_policy"": {""enabled"": true, ""gate"": {""max_negative_signal"": 0.06, ""min_abs_base_h20_pct"": 0.35, ""min_net_signal"": 0.005, ""min_positive_examples"": 1, ""min_positive_signal"": 0.015}, ""max_total_examples"": 7, ""negative_examples"": 1, ""negative_margin"": -0.015, ""positive_examples"": 2, ""positive_margin"": 0.02, ""support_examples"": 4, ""warmup_min_realized"": 5}, ""realized_memory_horizon"": 30, ""test_pool_mode"": ""online_realized_memory""}}}"
35b_tsm_numeric_only_online,35b,uk_ets/config/uk_ets_llm_35b_current_default.yaml,tsm,Port the curated online memory policy to the 35B non-thinking endpoint while keeping the tool stack lightweight.,Expected path MSE: 24.40-25.00. Expected gain vs base TSM: 2.5%-4.8%.,"{""llm"": {""base_model"": ""tsm"", ""cot_rf"": {""enable_delta_verifier_tool"": false, ""enable_numeric_tool"": true, ""force_delta_verifier_tool"": false, ""force_numeric_tool"": true, ""online_memory_policy"": {""enabled"": true, ""gate"": {""max_negative_signal"": 0.06, ""min_abs_base_h20_pct"": 0.2, ""min_net_signal"": 0.004, ""min_positive_examples"": 1, ""min_positive_signal"": 0.012}, ""max_total_examples"": 6, ""negative_examples"": 1, ""negative_margin"": -0.012, ""positive_examples"": 2, ""positive_margin"": 0.012, ""support_examples"": 3, ""warmup_min_realized"": 5}, ""realized_memory_horizon"": 30, ""test_pool_mode"": ""online_realized_memory""}}}"
35b_linear_ridge_numeric_only_online,35b,uk_ets/config/uk_ets_llm_35b_current_default.yaml,linear_ridge,Use 35B as a higher-capacity long-horizon residual corrector for the strongest linear baseline under online memory.,Expected path MSE: 21.85-22.20. Expected gain vs base ridge: 1.3%-2.8%.,"{""llm"": {""base_model"": ""linear_ridge"", ""cot_rf"": {""enable_delta_verifier_tool"": false, ""enable_numeric_tool"": true, ""force_delta_verifier_tool"": false, ""force_numeric_tool"": true, ""online_memory_policy"": {""enabled"": true, ""gate"": {""max_negative_signal"": 0.05, ""min_abs_base_h20_pct"": 0.1, ""min_net_signal"": 0.002, ""min_positive_examples"": 1, ""min_positive_signal"": 0.01}, ""max_total_examples"": 6, ""negative_examples"": 1, ""negative_margin"": -0.01, ""positive_examples"": 2, ""positive_margin"": 0.01, ""support_examples"": 3, ""warmup_min_realized"": 4}, ""realized_memory_horizon"": 30, ""test_pool_mode"": ""online_realized_memory""}}}"
35b_linear_lasso_numeric_only_online,35b,uk_ets/config/uk_ets_llm_35b_current_default.yaml,linear_lasso,See whether 35B can stabilize lasso's more volatile path enough for real online improvement without the verifier.,Expected path MSE: 23.00-23.70. Expected gain vs base lasso: 2.2%-5.1%.,"{""llm"": {""base_model"": ""linear_lasso"", ""cot_rf"": {""enable_delta_verifier_tool"": false, ""enable_numeric_tool"": true, ""force_delta_verifier_tool"": false, ""force_numeric_tool"": true, ""online_memory_policy"": {""enabled"": true, ""gate"": {""max_negative_signal"": 0.05, ""min_abs_base_h20_pct"": 0.2, ""min_net_signal"": 0.004, ""min_positive_examples"": 1, ""min_positive_signal"": 0.012}, ""max_total_examples"": 6, ""negative_examples"": 1, ""negative_margin"": -0.012, ""positive_examples"": 2, ""positive_margin"": 0.012, ""support_examples"": 3, ""warmup_min_realized"": 5}, ""realized_memory_horizon"": 30, ""test_pool_mode"": ""online_realized_memory""}}}"
