candidate,window,train_end,val_end,test_end,run_dir,tsm_path_mse,tsm_h20,tsm_h30,llm_path_mse,llm_h20,llm_h30,path_improvement_pct,h20_improvement_pct,h30_improvement_pct
learned_gbdt_regime,W1,2023-10-27,2024-10-26,2025-06-30,/Users/davidwilkinson/Desktop/ETS 2/runs/20260319_201906_205013,23.25793838500977,28.18958282470703,36.62714385986328,23.32277505816327,28.331440462069224,36.69180135535101,-0.0027877222856214,-0.0050322716105561,-0.0017652890363253
learned_gbdt_regime,W2,2023-02-22,2024-02-22,2024-10-26,/Users/davidwilkinson/Desktop/ETS 2/runs/20260319_204752_59a68f,18.59832763671875,25.401012420654297,35.6187744140625,18.592856290957695,25.395694466258455,35.572709508489886,0.0002941848249975,0.0002093599384062,0.0012932759852182
learned_gbdt_regime,W3,2022-06-20,2023-06-20,2024-02-22,/Users/davidwilkinson/Desktop/ETS 2/runs/20260319_210311_0fbd36,68.51536560058594,89.81409454345703,109.4663314819336,67.7858075105257,88.69453393753128,107.69279490352577,0.0106480945356584,0.0124653108358627,0.0162016626884087
learned_gbdt_regime,W4,2021-10-16,2022-10-16,2023-06-20,/Users/davidwilkinson/Desktop/ETS 2/runs/20260319_211833_83c717,101.73527526855467,124.65435028076172,216.0431365966797,103.08537448122276,126.79040747046383,218.30634140801297,-0.0132707087989309,-0.0171358415080662,-0.010475707985847
baseline_regime_specific,W1,2023-10-27,2024-10-26,2025-06-30,/Users/davidwilkinson/Desktop/ETS 2/runs/20260319_223103_53a87b,23.25793838500977,28.18958282470703,36.62714385986328,23.250956809856216,28.265904442931955,36.661104651921086,0.0003001803099647038,-0.00270744050025562,-0.0009272028468214621
baseline_regime_specific,W2,2023-02-22,2024-02-22,2024-10-26,/Users/davidwilkinson/Desktop/ETS 2/runs/20260319_223836_2d42e3,18.59832763671875,25.401012420654297,35.6187744140625,18.63577806622867,25.41522270331303,35.793150007980785,-0.002013645003004605,-0.0005594376485238417,-0.004895609037278925
baseline_regime_specific,W3,2022-06-20,2023-06-20,2024-02-22,/Users/davidwilkinson/Desktop/ETS 2/runs/20260319_224506_9db393,68.51536560058594,89.81409454345703,109.4663314819336,68.27788148628572,89.57287148405719,108.12623266582436,0.0034661438674157274,0.0026858040558781493,0.012242109495835263
baseline_regime_specific,W4,2021-10-16,2022-10-16,2023-06-20,/Users/davidwilkinson/Desktop/ETS 2/runs/20260319_225250_5a77f0,101.73527526855467,124.65435028076172,216.0431365966797,102.40547974686126,125.8038266695059,216.88162129857017,-0.0065877295415717185,-0.009221309855253157,-0.0038810985393893382
learned_logistic_regime,W1,2023-10-27,2024-10-26,2025-06-30,/Users/davidwilkinson/Desktop/ETS 2/runs/20260319_225904_8480f9,23.25793838500977,28.18958282470703,36.62714385986328,23.558411261240273,28.634700057345754,37.11397522962844,-0.012919153506063319,-0.015790131957844844,-0.013291546062881299
learned_logistic_regime,W2,2023-02-22,2024-02-22,2024-10-26,/Users/davidwilkinson/Desktop/ETS 2/runs/20260319_232012_46aa27,18.59832763671875,25.401012420654297,35.6187744140625,18.545339114325586,25.35002983086467,35.56325961823684,0.0028491014583778007,0.0020071085728917692,0.0015585824256698633
learned_logistic_regime,W3,2022-06-20,2023-06-20,2024-02-22,/Users/davidwilkinson/Desktop/ETS 2/runs/20260319_234146_9dc7b2,68.51536560058594,89.81409454345703,109.4663314819336,67.7858075105257,88.69453393753128,107.69279490352577,0.010648094535658403,0.012465310835862775,0.016201662688408724
learned_logistic_regime,W4,2021-10-16,2022-10-16,2023-06-20,/Users/davidwilkinson/Desktop/ETS 2/runs/20260319_235719_94d960,101.73527526855467,124.65435028076172,216.0431365966797,103.54598043958111,127.32394914992987,219.37804040352796,-0.01779820388008635,-0.021416010457359524,-0.01543628674987274
