_row_id,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,_query_id,relevance_score,relevance_hits,llm_vote,llm_score,llm_votes,llm_rationales,llm_importance,llm_vote_agreement,llm_score_importance_nopen,llm_score_importance,llm_importance_votes
1,https://fee.org/articles/why-did-leon-trotsky-favor-eugenics/,https://mercury.postlight.com/amp?url=https://fee.org/articles/why-did-leon-trotsky-favor-eugenics/,Why Did Leon Trotsky Favor Eugenics ? ,2017-01-01,https://fee.org/media/20077/trotskycolor.png?anchor=center&mode=crop&height=466&widthratio=2.0171673819742489270386266094&rnd=131277431490000000,fee.org,English,,2,2,eu_context,NO,-1,"[""NO"", ""NO"", ""NO""]","[""This headline is irrelevant to EU ETS pricing and has no financial or carbon market implications."", ""This headline is irrelevant to EU ETS pricing dynamics and has no financial or carbon market implications."", ""This headline is irrelevant to EU ETS pricing mechanics or carbon markets.""]",0,1.0,-0.0,-0.0,"[0, 0, 0]"
7,http://www.freemalaysiatoday.com/category/nation/2017/02/01/malaysias-first-carbon-credit-firm-to-offset-co2-emissions/,,Malaysia ’ s first carbon credit firm to offset CO2 emissions,2017-02-01,http://s3media.freemalaysiatoday.com/wp-content/uploads/2017/02/tangtoosiah.jpg,freemalaysiatoday.com,English,Malaysia,2,3,carbon_terms=3,NO,-1,"[""NO"", ""NO"", ""NO""]","[""Limited direct impact on EU ETS as Malaysia\u2019s carbon credit firm operates outside the EU market."", ""Limited direct impact on EU ETS as Malaysia\u2019s carbon credit firm operates outside the EU market."", ""Limited direct impact on EU ETS due to small scale and no immediate market linkage.""]",2,1.0,-0.2,-0.2,"[2, 2, 2]"
13,https://www.environmentalleader.com/2017/02/europe-rethink-calculates-carbon-emissions-aviation/,,Europe to Rethink How it Calculates Carbon Emissions from Aviation,2017-02-03,https://www.environmentalleader.com/wp-content/uploads/2017/02/2017-02-03_14-09-42-e1486149019158.jpg,environmentalleader.com,English,United States,1,5,eu_context;carbon_terms=3,YES,1,"[""NO"", ""YES"", ""YES""]","[""Revised aviation emission calculations could trigger new compliance costs or market volatility in EU ETS."", ""Revised aviation emission calculations could trigger new compliance costs or market adjustments, impacting ETS price volatility."", ""Revised aviation emission calculations could trigger new compliance costs or market adjustments, affecting price dynamics.""]",7,0.6666666666666666,0.7,0.4666666666666666,"[7, 7, 7]"
19,http://carbon-pulse.com/30108/,,Lawmakers draw closer on EU ETS reform options « Carbon Pulse,2017-02-06,,carbon-pulse.com,English,France,1,9,eu_ets_strong;eu_context;carbon_terms=1,YES,1,"[""YES"", ""YES"", ""YES""]","[""Reform discussions could trigger policy uncertainty or market anticipation, potentially driving short-term volatility."", ""Reform discussions could trigger market uncertainty and potential price volatility."", ""Reform discussions could reshape compliance costs and cap levels, influencing short-term price volatility.""]",7,1.0,0.7,0.7,"[7, 7, 7]"
25,http://www.cemnet.com/News/story/161047/european-parliament-to-vote-on-removing-cement-sector-ets-exemption.html,,European Parliament to vote on removing cement sector ETS exemption,2017-02-08,,cemnet.com,English,United States,1,2,eu_context,YES,1,"[""YES"", ""YES"", ""YES""]","[""Removal of cement exemption likely increases emissions compliance costs and drives upward pressure on EU ETS prices."", ""Removal of cement exemption likely increases emissions trading pressure and boosts ETS prices."", ""Removal of cement sector exemption likely increases emissions trading pressure and drives up EU ETS prices.""]",8,1.0,0.8,0.8,"[8, 8, 8]"
31,http://www.euractiv.com/section/climate-environment/news/carbon-market-reform-vote-puts-eu-cement-sector-in-the-spotlight/,,Carbon market reform vote puts EU cement sector in the spotlight – EurActiv . com,2017-02-10,http://www.euractiv.com/wp-content/uploads/sites/2/2017/02/Cement-factory-800x450.jpg,euractiv.com,English,Germany,1,4,eu_context;carbon_terms=2,YES,1,"[""YES"", ""YES"", ""YES""]","[""Reform vote could trigger stricter emissions caps, boosting EU ETS prices via increased scarcity."", ""Reform vote could trigger stricter emissions caps, boosting carbon prices for cement sector."", ""Reform vote could trigger stricter emissions targets, pressuring cement sector and potentially boosting ETS prices.""]",7,1.0,0.7,0.7,"[7, 7, 7]"
37,https://worldmaritimenews.com/archives/212748/shipping-industry-calls-for-inclusion-of-ship-co2-in-eu-ets/,,Shipping Industry Calls for Inclusion of Ship CO2 in EU ETS,2017-02-14,http://worldmaritimenews.com/wp-content/uploads/2017/02/co2.jpg,worldmaritimenews.com,English,Singapore,1,8,eu_ets_strong;eu_context,YES,1,"[""YES"", ""YES"", ""YES""]","[""Inclusion of ship CO2 emissions could significantly expand EU ETS coverage, increasing demand for allowances and potentially boosting prices."", ""Inclusion of ship CO2 emissions could significantly expand EU ETS coverage, boosting demand and prices."", ""Inclusion of ship CO2 emissions could significantly expand EU ETS coverage, increasing demand and potentially boosting prices.""]",7,1.0,0.7,0.7,"[7, 7, 7]"
43,http://www.4-traders.com/news/EEX-Auction-News-EU-Auction--23886861/,http://www.4-traders.com/amp/news/EEX-Auction-News-EU-Auction--23886861/,EEX Auction News : EU Auction,2017-02-16,,4-traders.com,English,United States,1,9,eu_ets_strong;eu_context;carbon_terms=1,NO,-1,"[""NO"", ""NO"", ""NO""]","[""EU auction results often reflect market sentiment but don't significantly alter short-term price trends."", ""EU ETS auction results are typically a lagging indicator, not a short-term price driver."", ""EU EEX auction results typically reflect market sentiment and may not signal a short-term price trend without context.""]",3,1.0,-0.3,-0.3,"[3, 3, 3]"
49,http://peakoil.com/enviroment/eu-coal-plants-should-all-close-by-2030,,EU Coal Plants  Should all Close by 2030  ,2017-02-18,,peakoil.com,English,United States,1,3,eu_context;energy_driver,YES,1,"[""YES"", ""YES"", ""YES""]","[""Policy-driven closure accelerates emissions reduction, boosting carbon price expectations."", ""Policy-driven closure accelerates demand for carbon credits, boosting ETS prices."", ""Policy-driven closure accelerates demand for carbon credits, boosting ETS prices.""]",8,1.0,0.8,0.8,"[8, 8, 8]"
55,http://www.world-nuclear-news.org/EE-Foratom-says-reforms-to-Europes-ETS-insufficient-2102174.html,,Foratom says reforms to Europe ETS insufficient,2017-02-21,,world-nuclear-news.org,English,United States,1,2,eu_context,NO,-1,"[""NO"", ""NO"", ""NO""]","[""Reforms being deemed insufficient may trigger market expectations of future policy tightening, potentially pressuring prices short-term."", ""Reforms being deemed insufficient may trigger market concerns over compliance and pricing, potentially driving down short-term ETS prices."", ""Reforms deemed insufficient may trigger market concerns over compliance and pricing, potentially pressuring ETS prices downward.""]",7,1.0,-0.7,-0.7,"[7, 7, 7]"
61,http://www.handyshippingguide.com/shipping-news/Merchant%20Shipping%20to%20be%20Included%20in%20European%20Emissions%20Trading%20Scheme_7772,,Merchant Shipping to be Included in European Emissions Trading Scheme,2017-02-24,,handyshippingguide.com,English,United Kingdom,1,11,eu_ets_strong;eu_context;carbon_terms=3,YES,1,"[""YES"", ""YES"", ""YES""]","[""Adding merchant shipping to the EU ETS will likely increase demand for carbon credits and push prices higher."", ""EU ETS inclusion of merchant shipping could significantly increase demand for allowances and raise prices in the short term."", ""Adding merchant shipping to EU ETS expands the carbon market\u2019s scope, likely increasing demand and prices.""]",7,1.0,0.7,0.7,"[7, 7, 7]"
67,http://www.irishsun.com/index.php/sid/252010553,,Europe tough line on shipping emissions,2017-02-26,http://www.irishsun.comhttp://cdn.bignewsnetwork.com/cli1488072245.jpg,irishsun.com,English,United States,1,4,eu_context;carbon_terms=2,YES,1,"[""YES"", ""YES"", ""YES""]","[""Shipping emissions caps could drive demand for carbon credits and boost EU ETS prices."", ""Shipping emissions caps could drive higher EU ETS prices via increased compliance costs."", ""EU\u2019s strict shipping emissions rules could drive up compliance costs and boost carbon prices.""]",7,1.0,0.7,0.7,"[7, 7, 7]"
73,http://carbon-pulse.com/31193/,,EU Market : Reform deal news helps EUAs recover ground lost after abysmal auction « Carbon Pulse,2017-02-28,,carbon-pulse.com,English,France,1,11,eu_ets_strong;eu_context;carbon_terms=3,YES,1,"[""YES"", ""YES"", ""YES""]","[""Reform deal news signals policy stability, likely boosting investor confidence and reversing auction underperformance."", ""Reform deal news signals policy stability, likely boosting investor confidence and reversing auction weakness."", ""Reform deal news signals policy stability and improved auction outcomes, likely boosting demand for EUAs.""]",8,1.0,0.8,0.8,"[8, 7, 8]"
79,http://atwonline.com/delete/us-house-votes-keep-airlines-out-eu-ets,,US House votes to keep airlines out of EU ETS,2017-03-03,http://atwonline.com/site-files/atwonline.com/files/uploads/2011/10/dneuropeanflag281.jpg,atwonline.com,English,United States,1,8,eu_ets_strong;eu_context,NO,-1,"[""NO"", ""NO"", ""NO""]","[""EU ETS exclusion of airlines could trigger regulatory backlash or market volatility due to potential carbon leakage."", ""EU ETS exclusion of airlines could trigger regulatory backlash and market uncertainty, impacting carbon pricing dynamics."", ""EU ETS exclusion of airlines could reduce carbon price pressure but may trigger retaliatory measures or market uncertainty.""]",7,1.0,-0.7,-0.7,"[7, 7, 6]"
85,http://dailycaller.com/2017/03/05/poland-officially-challenging-eus-global-warming-scheme/,http://amp.dailycaller.com/2017/03/05/poland-officially-challenging-eus-global-warming-scheme/,Poland Officially Challenging EU Global Warming Scheme,2017-03-06,http://cdn01.dailycaller.com/wp-content/uploads/2017/02/rsz_shutterstock_536615242-e1486483105160.jpg,dailycaller.com,English,United States,1,2,eu_context,NO,-1,"[""NO"", ""NO"", ""NO""]","[""Poland's legal challenge may delay or alter EU ETS implementation, creating regulatory uncertainty."", ""Poland\u2019s legal challenge could delay or alter EU ETS compliance, potentially affecting price volatility."", ""Poland\u2019s legal challenge may delay or alter compliance, but short-term ETS price impact is likely muted without immediate regulatory changes.""]",5,1.0,-0.5,-0.5,"[5, 6, 5]"
91,http://www.4-traders.com/news/EEX-Auction-News-EU-Auction--24011419/,http://www.4-traders.com/amp/news/EEX-Auction-News-EU-Auction--24011419/,EEX Auction News : EU Auction,2017-03-09,,4-traders.com,English,United States,1,9,eu_ets_strong;eu_context;carbon_terms=1,NO,-1,"[""NO"", ""NO"", ""NO""]","[""EU auction results often reflect market sentiment but don't significantly alter short-term price trends."", ""EU ETS auction results are typically a lagging indicator, not a short-term price driver."", ""EU EEX auction results typically reflect market sentiment and may not signal a short-term price trend without context.""]",3,1.0,-0.3,-0.3,"[3, 3, 3]"
97,http://in-cyprus.com/price-of-cyprus-electricity-set-to-rise-by-15-in-2020/,,Price of Cyprus electricity set to rise by 15 % in 2020 – in,2017-03-13,http://in-cyprus.com/wp-content/uploads/2017/03/energy-1.jpg,in-cyprus.com,English,Cyprus,1,2,carbon_terms=1;energy_driver,NO,-1,"[""NO"", ""NO"", ""NO""]","[""Cyprus\u2019s electricity price increase is not directly tied to EU ETS emissions trading mechanics or carbon pricing."", ""Cyprus\u2019s electricity price increase is not directly tied to EU ETS carbon pricing mechanisms."", ""Cyprus\u2019s electricity price increase is not directly linked to EU ETS emissions trading mechanics or carbon pricing.""]",2,1.0,-0.2,-0.2,"[3, 2, 2]"
103,http://www.bbc.co.uk/news/science-environment-39290593,http://www.bbc.co.uk/news/amp/39290593,Germany to push for carbon price at G20,2017-03-16,http://ichef.bbci.co.uk/news/1024/cpsprodpb/5881/production/_95175622_t1520446-photovoltaic_panels_at_solar_power_station-spl.jpg,bbc.co.uk,English,United Kingdom,1,2,carbon_terms=2,YES,1,"[""YES"", ""YES"", ""YES""]","[""G20 pressure may signal stronger policy alignment, potentially boosting EU ETS prices."", ""Germany\u2019s G20 push could influence EU ETS pricing via policy alignment and market signaling."", ""Germany\u2019s G20 push for higher carbon prices signals potential policy tightening that could boost EU ETS demand.""]",7,1.0,0.7,0.7,"[7, 7, 7]"
109,http://carbon-pulse.com/32213/,,EU Market : EUAs dip to 1,2017-03-21,,carbon-pulse.com,English,France,1,9,eu_ets_strong;eu_context;carbon_terms=1,NO,-1,"[""NO"", ""NO"", ""NO""]","[""Short-term dip may signal tightening supply or weak demand, but could rebound if policy signals strengthen."", ""Short-term dip may signal tightening supply or reduced demand, potentially triggering a rebound."", ""Short-term dip may signal tightening supply or reduced demand, but could rebound if policy signals remain unchanged.""]",7,1.0,-0.7,-0.7,"[7, 7, 7]"
