_row_id,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,_query_id,relevance_score,relevance_hits,llm_vote,llm_score,llm_votes,llm_rationales
3,http://www.eurasiareview.com/31012017-action-needed-to-make-stagnant-co2-emissions-fall/,,Action Needed To Make Stagnant CO2 Emissions Fall – Eurasia Review,2017-01-31,https://i0.wp.com/www.eurasiareview.com/wp-content/uploads/2017/01/w-61.jpg?fit=825%2C510,eurasiareview.com,English,United States,2,4,eu_context;carbon_terms=2,NO,-1,"[""NO"", ""NO"", ""NO""]","[""Stagnant CO2 emissions suggest weak compliance or insufficient policy drive, which can depress carbon price expectations."", ""Stagnant CO2 emissions suggest weak compliance or insufficient policy drive, which can depress carbon price expectations."", ""Stagnant CO2 emissions suggest weak compliance or insufficient policy drive, which can depress carbon price expectations.""]"
9,http://www.4-traders.com/news/EEX-Auction-News-EU-Auction--23799037/,http://www.4-traders.com/amp/news/EEX-Auction-News-EU-Auction--23799037/,EEX Auction News : EU Auction,2017-02-02,,4-traders.com,English,United States,1,9,eu_ets_strong;eu_context;carbon_terms=1,UNKNOWN,0,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]","[""The headline lacks specific details about auction outcomes, volumes, or market sentiment to assess short-term impact on EU ETS prices."", ""The headline lacks specific details about auction outcomes, volumes, or market sentiment to assess short-term impact on EU ETS prices."", ""The headline lacks specific details about auction outcomes, volumes, or market sentiment to assess short-term impact on EU ETS prices.""]"
15,http://www.allardprize.org/news/republicans-ax-disclosure-emissions-rules-energy,,"Republicans ax disclosure , emissions rules on energy",2017-02-04,,allardprize.org,English,,2,2,carbon_terms=2,NO,-1,"[""NO"", ""NO"", ""NO""]","[""Reduced regulatory oversight on emissions likely lowers market pressure and weakens carbon price signals."", ""Reduced regulatory oversight on emissions likely lowers market pressure and weakens carbon price signals."", ""Reduced regulatory oversight on emissions likely lowers market pressure and weakens carbon price signals.""]"
21,http://carbon-pulse.com/30126/,,EU Market : EUAs keep sliding as market awaits EU Parliament vote « Carbon Pulse,2017-02-07,,carbon-pulse.com,English,France,1,10,eu_ets_strong;eu_context;carbon_terms=2,NO,-1,"[""NO"", ""NO"", ""NO""]","[""EU ETS carbon prices are under pressure as market participants await a potentially disruptive parliamentary vote."", ""EU ETS carbon prices are under pressure as market participants await a potentially disruptive parliamentary vote."", ""EU ETS carbon prices are under pressure as market participants await a potentially disruptive parliamentary vote.""]"
27,http://carbon-pulse.com/30189/,,EU Market : EUAs nudge higher on oil,2017-02-09,,carbon-pulse.com,English,France,1,10,eu_ets_strong;eu_context;carbon_terms=1;energy_driver,YES,1,"[""YES"", ""YES"", ""YES""]","[""Higher EUA prices driven by oil market dynamics suggest increased demand or tightening supply in the EU ETS."", ""Higher EUA prices driven by oil market dynamics suggest increased demand or tightening supply in the EU ETS."", ""Higher EUA prices driven by oil market dynamics suggest increased demand or tightening supply in the EU ETS.""]"
33,https://euobserver.com/environment/136878,,MEPs set for crunch vote on EU carbon scheme,2017-02-13,https://s3.eu-central-1.amazonaws.com/euobs-media/81f48bc42bac8fde924e27875b013921-480x.jpg,euobserver.com,English,Germany,1,3,eu_context;carbon_terms=1,YES,1,"[""YES"", ""YES"", ""YES""]","[""A crunch vote by MEPs signals potential legislative momentum that could stabilize or boost EU ETS prices by clarifying market rules."", ""A crunch vote by MEPs signals potential legislative momentum that could stabilize or boost EU ETS prices by clarifying market rules."", ""A crunch vote by MEPs signals potential legislative momentum that could stabilize or boost EU ETS prices by clarifying market rules.""]"
39,http://www.handyshippingguide.com/shipping-news/merchant-shipping-to-be-included-in-european-emissions-trading-scheme_7772,,Merchant Shipping to be Included in European Emissions Trading Scheme,2017-02-15,,handyshippingguide.com,English,United Kingdom,1,11,eu_ets_strong;eu_context;carbon_terms=3,YES,1,"[""YES"", ""YES"", ""YES""]","[""Adding merchant shipping to the EU ETS expands the scope of carbon pricing, likely increasing demand and pushing prices higher in the short term."", ""Adding merchant shipping to the EU ETS expands the scope of carbon pricing, likely increasing demand and pushing prices higher in the short term."", ""Adding merchant shipping to the EU ETS expands the scope of carbon pricing, likely increasing demand and pushing prices higher in the short term.""]"
45,http://www.thehindu.com/todays-paper/tp-in-school/EU-parliament-backs-draft-carbon-trading-reforms/article17315293.ece,,EU parliament backs draft carbon trading reforms,2017-02-17,http://www.thehindu.com/todays-paper/tp-in-school/article17315292.ece/ALTERNATES/LANDSCAPE_615/17isbs%20EU%20CLIMA%20GM519G7KN%203%20jpg%20jpg,thehindu.com,English,India,1,4,eu_context;carbon_terms=2,YES,1,"[""YES"", ""YES"", ""YES""]","[""This signals legislative momentum that could boost carbon price expectations by tightening emissions caps or expanding coverage."", ""This signals legislative momentum that could boost carbon price expectations by tightening emissions caps or expanding coverage."", ""This signals legislative momentum that could boost carbon price expectations by tightening emissions caps or expanding coverage.""]"
51,http://www.4-traders.com/news/EEX-Auction-News-EU-Auction--23907570/,http://www.4-traders.com/amp/news/EEX-Auction-News-EU-Auction--23907570/,EEX Auction News : EU Auction,2017-02-20,,4-traders.com,English,United States,1,9,eu_ets_strong;eu_context;carbon_terms=1,UNKNOWN,0,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]","[""The headline lacks specific details about auction outcomes, volumes, or market sentiment to assess short-term impact on EU ETS prices."", ""The headline lacks specific details about auction outcomes, volumes, or market sentiment to assess short-term impact on EU ETS prices."", ""The headline lacks specific details about auction outcomes, volumes, or market sentiment to assess short-term impact on EU ETS prices.""]"
57,https://www.lrb.co.uk/v29/n07/donald-mackenzie/the-political-economy-of-carbon-trading,,Donald MacKenzie · The Political Economy of Carbon Trading : A Ratchet · LRB 5 April 2007,2017-02-22,https://cdn.lrb.co.uk/assets/covers/q/cov2907.jpg?1447593538,lrb.co.uk,English,United Kingdom,1,2,carbon_terms=2,UNKNOWN,0,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]","[""The article\u2019s focus on political economy and ratchet mechanisms doesn\u2019t provide actionable market signals for short-term EU ETS price movements."", ""The article\u2019s focus on political economy and ratchet mechanisms doesn\u2019t provide actionable market signals for short-term EU ETS price movements."", ""The article\u2019s focus on political economy and ratchet mechanisms doesn\u2019t provide actionable market signals for short-term EU ETS price movements.""]"
