_row_id,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,_query_id,relevance_score,relevance_hits,llm_vote,llm_score,llm_votes,llm_rationales
4,http://www.openpr.com/news/425701/The-Biopellets-Energy-Market-has-been-significantly-gaining-from-favorable-government-regulations-aimed-at-curbing-carbon-emission-by-increasing-reliance-on-renewable-energy-for-the-purpose-of-generating-power-2024.html,,The Biopellets Energy Market has been significantly gaining from favorable government regulations aimed at curbing carbon emission by increasing reliance on renewable energy for the purpose of generating power : 2024,2017-01-31,,openpr.com,English,Germany,2,4,carbon_terms=3;energy_driver,YES,1,"[""YES"", ""YES"", ""YES""]","[""This signals increased demand for low-carbon energy, potentially boosting EU ETS prices as renewables displace fossil fuels."", ""This signals increased demand for low-carbon energy, potentially boosting EU ETS prices as renewables displace fossil fuels."", ""This signals increased demand for low-carbon energy, potentially boosting EU ETS prices as renewables displace fossil fuels.""]"
10,http://www.hedgeweek.com/2017/02/02/248224/eex-increases-volumes-power-options-and-agricultural-products,,EEX increases volumes in power options and agricultural products,2017-02-02,http://www.hedgeweek.com/sites/default/files/imagecache/facebook_200_square/image_library/Graphs/Arrow%20up.jpg,hedgeweek.com,English,United States,1,7,eu_ets_strong;energy_driver,YES,1,"[""YES"", ""YES"", ""YES""]","[""Increased trading volumes in power options and agricultural products suggest heightened market activity and potential price volatility that could support carbon price stability."", ""Increased trading volumes in power options and agricultural products suggest heightened market activity and potential price volatility that could support carbon price stability."", ""Increased trading volumes in power options and agricultural products suggest heightened market activity and potential price volatility that could support carbon price stability.""]"
16,http://www.postguam.com/the_globe/world/sweden-set-to-phase-out-greenhouse-emissions-by/article_d7c9978e-e9ca-11e6-ae85-3786e9b417a0.html,,Sweden set to phase out greenhouse emissions by 2045 ,2017-02-04,,postguam.com,English,,2,2,carbon_terms=2,YES,1,"[""YES"", ""YES"", ""YES""]","[""Sweden\u2019s 2045 emissions phase-out targets signal stronger demand for carbon credits, potentially boosting EU ETS prices."", ""Sweden\u2019s 2045 emissions phase-out targets signal stronger demand for carbon credits, potentially boosting EU ETS prices."", ""Sweden\u2019s 2045 emissions phase-out targets signal stronger demand for carbon credits, potentially boosting EU ETS prices.""]"
22,http://www.4-traders.com/news/EEX-Auction-News-EU-Auction--23827383/,http://www.4-traders.com/amp/news/EEX-Auction-News-EU-Auction--23827383/,EEX Auction News : EU Auction,2017-02-07,,4-traders.com,English,United States,1,9,eu_ets_strong;eu_context;carbon_terms=1,UNKNOWN,0,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]","[""The headline lacks specific details about auction outcomes, volumes, or market sentiment to assess short-term impact on EU ETS prices."", ""The headline lacks specific details about auction outcomes, volumes, or market sentiment to assess short-term impact on EU ETS prices."", ""The headline lacks specific details about auction outcomes, volumes, or market sentiment to assess short-term impact on EU ETS prices.""]"
28,http://www.4-traders.com/news/EEX-Auction-News-EU-Auction--23841775/,http://www.4-traders.com/amp/news/EEX-Auction-News-EU-Auction--23841775/,EEX Auction News : EU Auction,2017-02-09,,4-traders.com,English,United States,1,9,eu_ets_strong;eu_context;carbon_terms=1,UNKNOWN,0,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]","[""The headline lacks specific details about auction outcomes, volumes, or market sentiment to assess short-term impact on EU ETS prices."", ""The headline lacks specific details about auction outcomes, volumes, or market sentiment to assess short-term impact on EU ETS prices."", ""The headline lacks specific details about auction outcomes, volumes, or market sentiment to assess short-term impact on EU ETS prices.""]"
34,http://www.dailymail.co.uk/wires/reuters/article-4220914/EU-lawmakers-split-carbon-reform-ahead-vote.html,http://www.dailymail.co.uk/wires/reuters/article-4220914/amp/EU-lawmakers-split-carbon-reform-ahead-vote.html,EU lawmakers split on carbon reform ahead of vote,2017-02-13,,dailymail.co.uk,English,United Kingdom,1,3,eu_context;carbon_terms=1,UNKNOWN,0,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]","[""The division among lawmakers introduces uncertainty that could disrupt market confidence and pricing stability."", ""The division among lawmakers introduces uncertainty that could disrupt market confidence and pricing stability."", ""The division among lawmakers introduces uncertainty that could disrupt market confidence and pricing stability.""]"
40,http://www.globalcement.com/news/item/5810-european-parliament-votes-to-reduce-carbon-credits-for-emissions-trading-scheme-by-2-2-each-year,,European Parliament votes to reduce carbon credits for Emissions Trading Scheme by 2 . 2 % each year,2017-02-15,http://www.globalcement.com/media/k2/items/cache/ad21ba5d4277a5379bc1c44219b7f617_M.jpg,globalcement.com,English,India,1,6,eu_context;carbon_terms=4,YES,1,"[""YES"", ""YES"", ""YES""]","[""Reducing carbon credits annually lowers supply, likely pushing the EU ETS carbon price higher in the short term."", ""Reducing carbon credits annually lowers supply, likely pushing the EU ETS carbon price higher in the short term."", ""Reducing carbon credits annually lowers supply, likely pushing the EU ETS carbon price higher in the short term.""]"
46,https://cleantechnica.com/2017/02/17/european-union-parliament-passes-move-reform-carbon-market/,,European Union Parliament Passes Move To Reform Carbon Market,2017-02-17,,cleantechnica.com,English,United States,1,4,eu_context;carbon_terms=2,YES,1,"[""YES"", ""YES"", ""YES""]","[""Reform of the EU ETS by Parliament may enhance market efficiency and boost carbon prices in the short term."", ""Reform of the EU ETS by Parliament may enhance market efficiency and boost carbon prices in the short term."", ""Reform of the EU ETS by Parliament may enhance market efficiency and boost carbon prices in the short term.""]"
52,http://interfaxenergy.com/gasdaily/article/24053/eu-ets-vote-spurs-optimism-despite-setbacks,,EU ETS vote spurs optimism despite setbacks,2017-02-20,http://interfaxenergy.com/gasdaily/uploads/articles/14875938271725.jpg,interfaxenergy.com,English,United States,1,8,eu_ets_strong;eu_context,YES,1,"[""YES"", ""YES"", ""YES""]","[""The vote\u2019s positive outcome, even amid setbacks, signals renewed market confidence and potential upward pressure on carbon prices."", ""The vote\u2019s positive outcome, even amid setbacks, signals renewed market confidence and potential upward pressure on carbon prices."", ""The vote\u2019s positive outcome, even amid setbacks, signals renewed market confidence and potential upward pressure on carbon prices.""]"
58,http://www.koreaherald.com/view.php?ud=20170223000532,, [ Other View ] Europe needs a higher price on carbon,2017-02-23,http://res.heraldm.com/new_201209/herald_h.jpg,koreaherald.com,English,South Korea,1,4,eu_context;carbon_terms=2,YES,1,"[""YES"", ""YES"", ""YES""]","[""This sentiment signals growing market demand for carbon pricing, likely boosting short-term EU ETS prices."", ""This sentiment signals growing market demand for carbon pricing, likely boosting short-term EU ETS prices."", ""This sentiment signals growing market demand for carbon pricing, likely boosting short-term EU ETS prices.""]"
64,http://www.channelnewsasia.com/news/world/eu-ministers-bracing-for-battle-on-carbon-market-reform/3548616.html,,EU ministers  bracing for battle  on carbon market reform,2017-02-25,http://www.channelnewsasia.com/image/674456/1370316058000/large16x9/640/360/world.jpg,channelnewsasia.com,English,United States,1,4,eu_context;carbon_terms=2,NO,-1,"[""NO"", ""NO"", ""NO""]","[""Political gridlock and potential delays in reform could suppress market confidence and lower carbon prices."", ""Political gridlock and potential delays in reform could suppress market confidence and lower carbon prices."", ""Political gridlock and potential delays in reform could suppress market confidence and lower carbon prices.""]"
