_row_id,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,_query_id,relevance_score,relevance_hits,llm_vote,llm_score,llm_votes,llm_rationales
5,http://carbon-pulse.com/29889/,,EU Market : EUAs hold on to recent gains as experts diverge on next moves « Carbon Pulse,2017-02-01,,carbon-pulse.com,English,France,1,10,eu_ets_strong;eu_context;carbon_terms=2,YES,1,"[""YES"", ""YES"", ""YES""]","[""EUAs holding recent gains signal market confidence and potential upward pressure on carbon prices."", ""EUAs holding recent gains signal market confidence and potential upward pressure on carbon prices."", ""EUAs holding recent gains signal market confidence and potential upward pressure on carbon prices.""]"
11,http://carbon-pulse.com/30043/,,EU Market : EUAs slip again on light selling but hold bulk of week ’ s gains « Carbon Pulse,2017-02-03,,carbon-pulse.com,English,France,1,10,eu_ets_strong;eu_context;carbon_terms=2,YES,1,"[""YES"", ""YES"", ""YES""]","[""Light selling pressure temporarily dips prices but fails to erase week\u2019s gains, signaling market resilience."", ""Light selling pressure temporarily dips prices but fails to erase week\u2019s gains, signaling market resilience."", ""Light selling pressure temporarily dips prices but fails to erase week\u2019s gains, signaling market resilience.""]"
17,https://www.traveldailynews.com/post/european-commission-adopts-proposal-for-aviation-emissions-trading-system,,European Commission adopts proposal for aviation emissions trading system,2017-02-06,https://www.traveldailynews.com/assets/thumbnails/c4/c44fa128f003e3e307d4d86f8dcce599.jpg,traveldailynews.com,English,United States,1,11,eu_ets_strong;eu_context;carbon_terms=3,YES,1,"[""YES"", ""YES"", ""YES""]","[""This expands the EU ETS scope to aviation, potentially increasing demand and stabilizing or raising carbon prices."", ""This expands the EU ETS scope to aviation, potentially increasing demand and stabilizing or raising carbon prices."", ""This expands the EU ETS scope to aviation, potentially increasing demand and stabilizing or raising carbon prices.""]"
23,http://www.edie.net/news/11/Does-Brexit-offer-a-golden-opportunity-to-pursue-ETS-alternatives/,,Does Brexit offer a  golden opportunity  to pursue EU ETS alternatives ? ,2017-02-08,http://edienet.s3.amazonaws.com/news/images/34458.jpg,edie.net,English,United Kingdom,1,8,eu_ets_strong;eu_context,UNKNOWN,0,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]","[""The headline suggests potential market shifts due to Brexit, but lacks concrete data to determine immediate impact on EU ETS pricing."", ""The headline suggests potential market shifts due to Brexit, but lacks concrete data to determine immediate impact on EU ETS pricing."", ""The headline suggests potential market shifts due to Brexit, but lacks concrete data to determine immediate impact on EU ETS pricing.""]"
29,https://www.gov.uk/government/publications/aircraft-operator-guide-how-to-comply-with-phase-iii-of-the-eu-ets,,EU ETS Phase III : guidance for aircraft operators,2017-02-10,https://assets.publishing.service.gov.uk/static/opengraph-image-a1f7d89ffd0782738b1aeb0da37842d8bd0addbd724b8e58c3edbc7287cc11de.png,gov.uk,English,United Kingdom,1,8,eu_ets_strong;eu_context,UNKNOWN,0,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]","[""The headline does not specify whether the guidance will increase or decrease carbon pricing expectations or affect market sentiment."", ""The headline does not specify whether the guidance will increase or decrease carbon pricing expectations or affect market sentiment."", ""The headline does not specify whether the guidance will increase or decrease carbon pricing expectations or affect market sentiment.""]"
35,http://carbon-pulse.com/30520/,,COMMENT : Should the united kingdom stay or should it go ? The consequences of a divorce with the EU ETS « Carbon Pulse,2017-02-14,,carbon-pulse.com,English,France,1,9,eu_ets_strong;eu_context;carbon_terms=1,YES,1,"[""YES"", ""YES"", ""YES""]","[""A UK departure from the EU ETS could create market uncertainty and potential price volatility, but short-term pricing may stabilize or even rise due to reduced supply."", ""A UK departure from the EU ETS could create market uncertainty and potential price volatility, but short-term pricing may stabilize or even rise due to reduced supply."", ""A UK departure from the EU ETS could create market uncertainty and potential price volatility, but short-term pricing may stabilize or even rise due to reduced supply.""]"
41,http://www.seatrade-maritime.com/news/europe/industry-associations-hit-out-as-eu-persists-with-plan-to-include-shipping-in-emissions-trading-system.html,,Industry associations hit out as EU persists with plan to include shipping in Emissions Trading System,2017-02-16,http://www.seatrade-maritime.com/media/k2/items/cache/570f746cec16d783a7057aa2ddb17062_XL.jpg,seatrade-maritime.com,English,China,1,11,eu_ets_strong;eu_context;carbon_terms=3,YES,1,"[""YES"", ""YES"", ""YES""]","[""Industry backlash may pressure the EU to delay or soften the shipping inclusion, potentially stabilizing or slightly lowering short-term carbon prices."", ""Industry backlash may pressure the EU to delay or soften the shipping inclusion, potentially stabilizing or slightly lowering short-term carbon prices."", ""Industry backlash may pressure the EU to delay or soften the shipping inclusion, potentially stabilizing or slightly lowering short-term carbon prices.""]"
47,http://pt.euronews.com/2017/02/18/o-compromisso-dos-eua-com-a-nato-e-inquebravel-garante-mike-pence,,"  O compromisso dos EUA com a NATO é  inquebrável , garante Mike Pence",2017-02-18,http://static.euronews.com/articles/358265/1000x563_358265.jpg,pt.euronews.com,English,United States,1,8,eu_ets_strong;eu_context,NO,-1,"[""NO"", ""NO"", ""NO""]","[""This headline signals U.S. geopolitical commitment, which may reduce EU ETS carbon price volatility by increasing global climate policy uncertainty."", ""This headline signals U.S. geopolitical commitment, which may reduce EU ETS carbon price volatility by increasing global climate policy uncertainty."", ""This headline signals U.S. geopolitical commitment, which may reduce EU ETS carbon price volatility by increasing global climate policy uncertainty.""]"
53,http://www.miningglobal.com/operations/2230/What-is-the-future-of-coal-power-in-Europe,,What is the future of coal power in Europe ? ,2017-02-21,http://www.miningglobal.com/public/uploads/large/large_502f1400_da55_be58_242a_473c0ed5e539.jpg,miningglobal.com,English,Australia,1,3,eu_context;energy_driver,UNKNOWN,0,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]","[""The headline\u2019s ambiguity about coal\u2019s future in Europe doesn\u2019t directly signal short-term price movement in the EU ETS."", ""The headline\u2019s ambiguity about coal\u2019s future in Europe doesn\u2019t directly signal short-term price movement in the EU ETS."", ""The headline\u2019s ambiguity about coal\u2019s future in Europe doesn\u2019t directly signal short-term price movement in the EU ETS.""]"
59,http://www.downtoearth.org.in/blog/eu-at-crossroads-in-climate-negotiations-57203,,EU at crossroads of climate negotiations,2017-02-23,http://cdn.downtoearth.org.in/library/medium/2017-02-23/0.33101200_1487838910_climate-chnage-10.jpg,downtoearth.org.in,English,India,1,2,eu_context,UNKNOWN,0,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]","[""Uncertain short-term impact as negotiations could lead to either policy tightening (boosting prices) or relaxation (lowering prices)."", ""Uncertain short-term impact as negotiations could lead to either policy tightening (boosting prices) or relaxation (lowering prices)."", ""Uncertain short-term impact as negotiations could lead to either policy tightening (boosting prices) or relaxation (lowering prices).""]"
