name,literature_label,literature_url,change_summary,aim,expected_low,expected_high,expectation_result,run_dir,base_mse_path,llm_mse_path,delta_vs_tsm,delta_vs_baseline_llm,delta_vs_ridge,delta_vs_old_best,h5_delta_vs_baseline,h20_delta_vs_baseline,h30_delta_vs_baseline,nonzero_count,abs_mean_delta,mean_delta,unique_apply_responses,unique_reflect_responses,numeric_tool_calls,verifier_tool_calls,case_retrieval_tool_calls,market_tool_calls,counterexample_tool_calls
optional_tools_default,Toolformer,https://arxiv.org/abs/2302.04761,Keep the current default stack but make numeric and verifier tool use optional instead of required.,Test whether 35B is being over-regularized by forced tool calls on easy windows.,21.42,21.56,within,/Users/davidwilkinson/Desktop/ETS 2/runs/20260314_030154_18c8e4,22.72635269165039,21.50969908801268,-1.2166536036377096,0.0,-0.9102561543237861,0.02507640402320277,0.0,0.0,0.0,3944,0.28135266397214953,0.167668254089216,22,144,144,144,0,0,0
numeric_only_default,Program of Thoughts,https://arxiv.org/abs/2211.12588,Remove the verifier and keep only the numeric tool under the current least-to-most stack.,Test whether exact arithmetic helps more than post-hoc clipping on 35B.,21.38,21.54,within,/Users/davidwilkinson/Desktop/ETS 2/runs/20260314_033401_10feb9,22.72635269165039,21.502943814369303,-1.2234088772810878,-0.006755273643378246,-0.9170114279671644,0.018321130379824524,-0.0026528956641937995,-0.009914718746610873,-0.015608160525658832,3944,0.2826494952952194,0.16964464744241875,23,144,144,0,0,0,0
verifier_only_default,Chain-of-Verification,https://arxiv.org/abs/2309.11495,Remove the numeric tool and keep only the deterministic verifier under the current least-to-most stack.,Test whether 35B already has enough arithmetic and mainly needs bounded final corrections.,21.43,21.57,within,/Users/davidwilkinson/Desktop/ETS 2/runs/20260314_040035_8a075e,22.72635269165039,21.541713258779012,-1.1846394328713785,0.03201417076633106,-0.8782419835574551,0.05709057478953383,0.001792533786062478,0.0559114462050907,0.08342652613771406,3944,0.2807782380847724,0.1738734976802788,21,144,0,144,0,0,0
react_evidence_optional_tools,ReAct,https://arxiv.org/abs/2210.03629,Switch the reflection style to evidence-seeking ReAct and let the model decide when to call numeric or verifier tools.,Encourage evidence-driven tool use instead of mandatory tool loops.,21.36,21.55,missed,/Users/davidwilkinson/Desktop/ETS 2/runs/20260314_042856_b0fca5,22.72635269165039,22.072691654881982,-0.6536610367684084,0.5629925668693012,-0.34726358745448493,0.588068970892504,0.23604564257470884,0.756421604324288,1.0737859875585443,3887,0.30024833861670397,0.10157185833115728,12,140,144,144,0,0,0
plan_and_solve_optional_tools,Plan-and-Solve,https://arxiv.org/abs/2305.04091,Use plan-and-solve reflection while keeping numeric and verifier tools optional.,Reduce missing-step errors without forcing every sample through the same tool sequence.,21.38,21.56,missed,/Users/davidwilkinson/Desktop/ETS 2/runs/20260314_050116_b7a549,22.72635269165039,21.700990042877415,-1.0253626487729761,0.19129095486473346,-0.7189651994590527,0.21636735888793623,0.14350166182524582,0.1664695265187568,0.40066808278242405,3567,0.24546081329798958,0.13012775416714173,17,144,144,144,0,0,0
skill_tag_recent_high_error_tools,Skill-KNN,https://arxiv.org/abs/2305.14210,Switch example selection to skill-tag-matched recent hard cases while keeping the current tool stack forced.,Improve demonstration relevance without changing the tool contract.,21.36,21.53,missed,/Users/davidwilkinson/Desktop/ETS 2/runs/20260314_053318_e1683f,22.72635269165039,22.041922489093647,-0.6844302025567437,0.5322234010809659,-0.37803275324282026,0.5572998051041687,0.19917414474833883,0.672205724080591,1.6481437219398316,3507,0.23829952719592715,0.18543024837380553,17,144,144,144,0,0,0
balanced_long_horizon_tools,Active Example Selection,https://arxiv.org/abs/2211.04486,Balance the teaching pool across h20-heavy and h30-heavy failures under the current tool stack.,Avoid overfitting the demonstration bank to one long-horizon failure mode.,21.39,21.56,missed,/Users/davidwilkinson/Desktop/ETS 2/runs/20260314_060511_350ba0,22.72635269165039,22.36932765007036,-0.35702504158003023,0.8596285620576793,-0.0506275922661068,0.8847049660808821,-0.06626358552994649,1.1164533102033651,3.4199481687095385,3833,0.25923167001089925,0.24224990861610124,21,143,144,144,0,0,0
counterexample_recent_high_error_tools,Chain of Hindsight,https://arxiv.org/abs/2302.02676,Add one low-error freeze counterexample to the recent high-error teaching set while keeping the current tool stack.,Teach the model both when to correct and when to leave the base path alone.,21.37,21.55,missed,/Users/davidwilkinson/Desktop/ETS 2/runs/20260314_063711_1d6f1d,22.72635269165039,21.635979024186305,-1.0903736674640854,0.1262799361736242,-0.7839762181501619,0.15135634019682698,0.11144334305244463,0.07535239652316861,0.642188582722035,3784,0.2379176258219604,0.177445177925221,20,144,144,144,0,0,0
step_back_optional_tools_k6,Step-Back Prompting,https://arxiv.org/abs/2310.06117,Restore step-back with 6 examples but leave numeric and verifier tools available rather than required.,Recover the old 35B regime-level strength without forcing the clipping behavior that hurt the hybrid.,21.3,21.5,missed,/Users/davidwilkinson/Desktop/ETS 2/runs/20260314_070913_cb8e76,22.72635269165039,21.78955377704927,-0.9367989146011197,0.27985468903658983,-0.6304014652871963,0.3049310930597926,0.11164789105420603,0.39031376327696776,1.0650212303499487,4019,0.31564184769021925,0.2617799953676087,14,142,144,144,0,0,0
step_back_numeric_optional_k6,Step-Back Prompting + Program of Thoughts,https://arxiv.org/abs/2310.06117,"Use step-back with 6 examples, enable numeric analysis as-needed, and remove the verifier entirely.",See whether exact arithmetic complements regime-level reasoning while the verifier is the component causing over-regularization.,21.28,21.48,missed,/Users/davidwilkinson/Desktop/ETS 2/runs/20260314_074127_09ad7f,22.72635269165039,21.793565940737015,-0.932786750913376,0.28386685272433354,-0.6263893015994526,0.3089432567475363,0.11164789105420603,0.39730910445949874,1.0792600541128508,4019,0.3162184445153715,0.262356592192761,16,142,144,0,0,0,0
