name,stage,hypothesis,expected_outcome,run_dir,base_mse_path,llm_mse_path,delta_mse_path,base_h5_mse,llm_h5_mse,base_h20_mse,llm_h20_mse,base_h30_mse,llm_h30_mse,nonzero_count,abs_mean_delta,mean_delta,unique_apply_responses,unique_rules,top_apply_response,top_apply_count,top_frozen_pattern,top_frozen_count,top_matched_n,top_matched_count
baseline_365_k6_tk3,lookback,Control: current case-conditioned settings.,Should reproduce the small positive TSM gain already observed.,/Users/davidwilkinson/Desktop/ETS 2/runs/20260308_010526_501c5b,22.72635269165039,22.61899902249179,-0.10735366915860212,4.587045192718506,4.438225229700316,29.865068435668945,29.712387747024,59.48053741455078,59.53942972264732,3892,0.07024853575872725,0.03289915621717724,49,144,"{""adjustments"": {""h1"": 0.0, ""h5"": 0.1, ""h20"": 0.0, ""h30"": 0.0}}",16,[],144,3,144
recent_180_k6_tk3,lookback,A 180-day horizon should better match the late-2025 UK regime for TSM correction.,Best chance to cut h30 drift while keeping h5/h20 improvement.,/Users/davidwilkinson/Desktop/ETS 2/runs/20260308_012113_616606,22.72635269165039,22.69955491370956,-0.026797777940831935,4.587045192718506,4.481144116631537,29.865068435668945,29.801524743203533,59.48053741455078,59.53123100649153,3777,0.06362635255426469,0.017089085729577857,54,144,"{""adjustments"": {""h1"": 0.0, ""h5"": 0.1, ""h20"": 0.0, ""h30"": 0.0}}",19,[],144,3,142
recent_120_k6_tk3,lookback,A 120-day teaching horizon may isolate the most recent UK regime without starving the matcher.,Could outperform 180 days if the market regime really shifted late in the sample.,/Users/davidwilkinson/Desktop/ETS 2/runs/20260308_012905_d2689d,22.72635269165039,22.72230701473883,-0.004045676911559326,4.587045192718506,4.536872936831983,29.865068435668945,29.8236124881845,59.48053741455078,59.51441215493835,3611,0.07040538514877472,0.006679019367179136,49,143,"{""adjustments"": {""h1"": 0.0, ""h5"": 0.1, ""h20"": 0.0, ""h30"": 0.0}}",23,[],143,3,141
recent_180_k4_tk2_localmatch,matching,Shorter regime feature windows should sharpen case matching around the latest UK pattern.,"More diverse but more locally relevant rules, with improved h20/h30 sign stability.",/Users/davidwilkinson/Desktop/ETS 2/runs/20260308_020615_f94446,22.72635269165039,22.725880437015302,-0.00047225463508837606,4.587045192718506,4.540993634220813,29.865068435668945,29.79765072130571,59.48053741455078,59.588130846806735,3122,0.05635937885734722,0.022387033846848876,52,144,"{""adjustments"": {""h1"": 0.0, ""h5"": 0.0, ""h20"": 0.0, ""h30"": 0.0}}",21,[1],32,2,144
recent_180_k4_tk2_strictsign,consensus,Stricter sign agreement and more required evidence should freeze noisy long-horizon corrections.,"Smaller active coverage, but cleaner raw test path if contradictory examples are the main problem.",/Users/davidwilkinson/Desktop/ETS 2/runs/20260308_015908_9f6f04,22.72635269165039,22.72634977784094,-2.9138094497227485e-06,4.587045192718506,4.587045091947908,29.865068435668945,29.86506947179401,59.48053741455078,59.48053450032108,0,0.0,0.0,1,144,"{""adjustments"": {""h1"": 0.0, ""h5"": 0.0, ""h20"": 0.0, ""h30"": 0.0}}",144,"[1, 5, 20, 30]",144,2,144
recent_180_k4_tk2,evidence,Smaller evidence set should force tighter local matching and reduce conflicting horizon guidance.,Lower h30 error and fewer contradictory long-horizon adjustments.,/Users/davidwilkinson/Desktop/ETS 2/runs/20260308_014441_75ccd3,22.72635269165039,22.740394149809187,0.014041458158796871,4.587045192718506,4.547351340331122,29.865068435668945,29.909915550749773,59.48053741455078,59.54218472306775,2861,0.047328023603432925,0.013765315982088189,48,144,"{""adjustments"": {""h1"": 0.0, ""h5"": 0.0, ""h20"": 0.0, ""h30"": 0.0}}",33,"[1, 5]",24,2,144
recent_270_k6_tk3,lookback,Shorter teaching horizon should reduce stale pre-regime examples without losing too much evidence.,"Slightly better h30 than baseline, similar h5/h20 gains.",/Users/davidwilkinson/Desktop/ETS 2/runs/20260308_011320_d669a0,22.72635269165039,22.755520569679568,0.02916787802917753,4.587045192718506,4.455855327869538,29.865068435668945,29.889080299257373,59.48053741455078,60.00157070901511,3962,0.06593602303276783,0.03596143619700676,40,143,"{""adjustments"": {""h1"": 0.0, ""h5"": 0.1, ""h20"": 0.0, ""h30"": 0.0}}",11,[],144,3,144
recent_180_k4_tk2_tightbound,bounds,Tighter per-horizon bounds should preserve h5/h20 gains while reducing overcorrection at h30.,Path MSE improves if h30 drag is mostly caused by excessive adjustment magnitude.,/Users/davidwilkinson/Desktop/ETS 2/runs/20260308_015155_ddc0c5,22.72635269165039,22.76988287533213,0.04353018368173878,4.587045192718506,4.544936683757062,29.865068435668945,29.90594697600578,59.48053741455078,59.689998649413624,2984,0.06782542949339432,0.022522585741369318,44,144,"{""adjustments"": {""h1"": 0.0, ""h5"": 0.0, ""h20"": 0.0, ""h30"": 0.0}}",29,"[1, 5]",24,2,144
recent_90_k6_tk3,lookback,Very short history may track the local regime best but risks sparse or noisy teaching evidence.,"Could improve h30, but may lose stability and diversity.",/Users/davidwilkinson/Desktop/ETS 2/runs/20260308_013653_fb6579,22.72635269165039,22.78932776744346,0.06297507579306938,4.587045192718506,4.514671031471256,29.865068435668945,29.953426515418933,59.48053741455078,59.66221773864462,3595,0.06816883990455484,-0.00011661367996304223,52,144,"{""adjustments"": {""h1"": 0.0, ""h5"": 0.1, ""h20"": 0.0, ""h30"": 0.0}}",24,[],143,3,142
recent_120_k4_tk2_tightbound,combined,Best recent-regime horizon plus smaller evidence set and tighter bounds may be the strongest anti-h30 configuration.,Best chance to beat the current raw TSM+LLM result if recency and magnitude control both matter.,/Users/davidwilkinson/Desktop/ETS 2/runs/20260308_021333_b14096,22.72635269165039,22.79215676471216,0.06580407306176994,4.587045192718506,4.616789712102455,29.865068435668945,29.96510086043817,59.48053741455078,59.54982950529323,2928,0.06832743391788991,0.008203496307870005,46,144,"{""adjustments"": {""h1"": 0.0, ""h5"": 0.0, ""h20"": 0.0, ""h30"": 0.0}}",29,[],30,2,143
