_row_id,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,_query_id,relevance_score,relevance_hits,llm_vote,llm_score,llm_votes,llm_rationales
0,http://www.independent.com.mt/articles/2017-01-01/local-news/Italy-banks-on-Malta-s-EU-Presidency-support-in-new-drive-to-expel-irregular-migrants-6736168479,,Italy banks on Malta EU Presidency support in new drive to expel irregular migrants,2017-01-01,http://www.independent.com.mt/file.aspx?f=136617,independent.com.mt,English,Malta,2,2,eu_context,UNKNOWN,0,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]","[""The headline relates to migration policy and not directly to carbon pricing or EU ETS market dynamics."", ""The headline relates to migration policy and not directly to carbon pricing or EU ETS market dynamics."", ""The headline relates to migration policy and not directly to carbon pricing or EU ETS market dynamics.""]"
4,http://www.openpr.com/news/425701/The-Biopellets-Energy-Market-has-been-significantly-gaining-from-favorable-government-regulations-aimed-at-curbing-carbon-emission-by-increasing-reliance-on-renewable-energy-for-the-purpose-of-generating-power-2024.html,,The Biopellets Energy Market has been significantly gaining from favorable government regulations aimed at curbing carbon emission by increasing reliance on renewable energy for the purpose of generating power : 2024,2017-01-31,,openpr.com,English,Germany,2,4,carbon_terms=3;energy_driver,YES,1,"[""YES"", ""YES"", ""YES""]","[""This signals increased demand for low-carbon energy, potentially boosting EU ETS prices as renewables displace fossil fuels."", ""This signals increased demand for low-carbon energy, potentially boosting EU ETS prices as renewables displace fossil fuels."", ""This signals increased demand for low-carbon energy, potentially boosting EU ETS prices as renewables displace fossil fuels.""]"
8,http://www.cemnet.com/News/story/161006/cembureau-calls-for-maintaining-free-eu-ets-allowances-for-best-performers.html,,Cembureau calls for maintaining free EU ETS allowances for best performers,2017-02-02,,cemnet.com,English,United States,1,10,eu_ets_strong;eu_context;carbon_terms=2,YES,1,"[""YES"", ""YES"", ""YES""]","[""Maintaining free allowances for top performers reduces market pressure and may stabilize or slightly lower carbon prices in the short term."", ""Maintaining free allowances for top performers reduces market pressure and may stabilize or slightly lower carbon prices in the short term."", ""Maintaining free allowances for top performers reduces market pressure and may stabilize or slightly lower carbon prices in the short term.""]"
12,http://www.4-traders.com/news/No-to-discrimination-Chemical-industry-calls-for-fair-emissions-trading-system--23809387/,http://www.4-traders.com/amp/news/No-to-discrimination-Chemical-industry-calls-for-fair-emissions-trading-system--23809387/,No to discrimination : Chemical industry calls for fair emissions trading system,2017-02-03,,4-traders.com,English,United States,1,9,eu_ets_strong;carbon_terms=3,YES,1,"[""YES"", ""YES"", ""YES""]","[""The chemical industry\u2019s call for a fair emissions trading system signals potential policy reforms that could boost market confidence and support carbon prices."", ""The chemical industry\u2019s call for a fair emissions trading system signals potential policy reforms that could boost market confidence and support carbon prices."", ""The chemical industry\u2019s call for a fair emissions trading system signals potential policy reforms that could boost market confidence and support carbon prices.""]"
16,http://www.postguam.com/the_globe/world/sweden-set-to-phase-out-greenhouse-emissions-by/article_d7c9978e-e9ca-11e6-ae85-3786e9b417a0.html,,Sweden set to phase out greenhouse emissions by 2045 ,2017-02-04,,postguam.com,English,,2,2,carbon_terms=2,YES,1,"[""YES"", ""YES"", ""YES""]","[""Sweden\u2019s 2045 emissions phase-out targets signal stronger demand for carbon credits, potentially boosting EU ETS prices."", ""Sweden\u2019s 2045 emissions phase-out targets signal stronger demand for carbon credits, potentially boosting EU ETS prices."", ""Sweden\u2019s 2045 emissions phase-out targets signal stronger demand for carbon credits, potentially boosting EU ETS prices.""]"
20,http://www.globalcement.com/news/item/5768-cembureau-lobbies-for-revised-european-emissions-trading-scheme,,Cembureau lobbies for revised European emissions trading scheme,2017-02-07,http://www.globalcement.com/media/k2/items/cache/55c77c4359e210de61833641a929d483_M.jpg,globalcement.com,English,India,1,11,eu_ets_strong;eu_context;carbon_terms=3,UNKNOWN,0,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]","[""Lobbying for revisions to the EU ETS could signal regulatory uncertainty, potentially affecting short-term price stability."", ""Lobbying for revisions to the EU ETS could signal regulatory uncertainty, potentially affecting short-term price stability."", ""Lobbying for revisions to the EU ETS could signal regulatory uncertainty, potentially affecting short-term price stability.""]"
24,http://aero-news.net/getmorefromann.cfm?do=main.textpost&id=6c5d4244-8116-43db-ad95-6fb041260fca,,NBAA : Continued EU,2017-02-08,,aero-news.net,English,United States,1,2,eu_context,UNKNOWN,0,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]","[""Insufficient context to determine impact on EU ETS carbon price."", ""Insufficient context to determine impact on EU ETS carbon price."", ""Insufficient context to determine impact on EU ETS carbon price.""]"
28,http://www.4-traders.com/news/EEX-Auction-News-EU-Auction--23841775/,http://www.4-traders.com/amp/news/EEX-Auction-News-EU-Auction--23841775/,EEX Auction News : EU Auction,2017-02-09,,4-traders.com,English,United States,1,9,eu_ets_strong;eu_context;carbon_terms=1,UNKNOWN,0,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]","[""The headline lacks specific details about auction outcomes, volumes, or market sentiment to assess short-term impact on EU ETS prices."", ""The headline lacks specific details about auction outcomes, volumes, or market sentiment to assess short-term impact on EU ETS prices."", ""The headline lacks specific details about auction outcomes, volumes, or market sentiment to assess short-term impact on EU ETS prices.""]"
32,http://econews.com.au/53282/report-says-eu-coal-plants-should-all-close-by-2030/,,Report says EU coal plants  should all close by 2030  ,2017-02-13,http://econews.com.au/wp-content/uploads/2014/04/WWF-thermal-power-image.jpg,econews.com.au,English,Australia,1,3,eu_context;energy_driver,YES,1,"[""YES"", ""YES"", ""YES""]","[""This signals a strong policy push to phase out coal, likely increasing carbon demand and boosting EU ETS prices."", ""This signals a strong policy push to phase out coal, likely increasing carbon demand and boosting EU ETS prices."", ""This signals a strong policy push to phase out coal, likely increasing carbon demand and boosting EU ETS prices.""]"
36,http://carbon-pulse.com/30530/,,EU ETS reform : A guide to the European Parliament vote « Carbon Pulse,2017-02-14,,carbon-pulse.com,English,France,1,9,eu_ets_strong;eu_context;carbon_terms=1,YES,1,"[""YES"", ""YES"", ""YES""]","[""The EU Parliament vote on ETS reform could unlock new market flexibility and pricing power, boosting short-term carbon price expectations."", ""The EU Parliament vote on ETS reform could unlock new market flexibility and pricing power, boosting short-term carbon price expectations."", ""The EU Parliament vote on ETS reform could unlock new market flexibility and pricing power, boosting short-term carbon price expectations.""]"
