_row_id,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,_query_id,relevance_score,relevance_hits,llm_vote,llm_score,llm_votes,llm_rationales
3,http://www.eurasiareview.com/31012017-action-needed-to-make-stagnant-co2-emissions-fall/,,Action Needed To Make Stagnant CO2 Emissions Fall – Eurasia Review,2017-01-31,https://i0.wp.com/www.eurasiareview.com/wp-content/uploads/2017/01/w-61.jpg?fit=825%2C510,eurasiareview.com,English,United States,2,4,eu_context;carbon_terms=2,NO,-1,"[""NO"", ""NO"", ""NO""]","[""Stagnant CO2 emissions suggest weak compliance or insufficient policy drive, which can depress carbon price expectations."", ""Stagnant CO2 emissions suggest weak compliance or insufficient policy drive, which can depress carbon price expectations."", ""Stagnant CO2 emissions suggest weak compliance or insufficient policy drive, which can depress carbon price expectations.""]"
7,http://www.freemalaysiatoday.com/category/nation/2017/02/01/malaysias-first-carbon-credit-firm-to-offset-co2-emissions/,,Malaysia ’ s first carbon credit firm to offset CO2 emissions,2017-02-01,http://s3media.freemalaysiatoday.com/wp-content/uploads/2017/02/tangtoosiah.jpg,freemalaysiatoday.com,English,Malaysia,2,3,carbon_terms=3,UNKNOWN,0,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]","[""Malaysia\u2019s first carbon credit firm may signal growing global carbon markets but doesn\u2019t directly impact EU ETS pricing without clearer linkages or trade dynamics."", ""Malaysia\u2019s first carbon credit firm may signal growing global carbon markets but doesn\u2019t directly impact EU ETS pricing without clearer linkages or trade dynamics."", ""Malaysia\u2019s first carbon credit firm may signal growing global carbon markets but doesn\u2019t directly impact EU ETS pricing without clearer linkages or trade dynamics.""]"
11,http://carbon-pulse.com/30043/,,EU Market : EUAs slip again on light selling but hold bulk of week ’ s gains « Carbon Pulse,2017-02-03,,carbon-pulse.com,English,France,1,10,eu_ets_strong;eu_context;carbon_terms=2,YES,1,"[""YES"", ""YES"", ""YES""]","[""Light selling pressure temporarily dips prices but fails to erase week\u2019s gains, signaling market resilience."", ""Light selling pressure temporarily dips prices but fails to erase week\u2019s gains, signaling market resilience."", ""Light selling pressure temporarily dips prices but fails to erase week\u2019s gains, signaling market resilience.""]"
15,http://www.allardprize.org/news/republicans-ax-disclosure-emissions-rules-energy,,"Republicans ax disclosure , emissions rules on energy",2017-02-04,,allardprize.org,English,,2,2,carbon_terms=2,NO,-1,"[""NO"", ""NO"", ""NO""]","[""Reduced regulatory oversight on emissions likely lowers market pressure and weakens carbon price signals."", ""Reduced regulatory oversight on emissions likely lowers market pressure and weakens carbon price signals."", ""Reduced regulatory oversight on emissions likely lowers market pressure and weakens carbon price signals.""]"
19,http://carbon-pulse.com/30108/,,Lawmakers draw closer on EU ETS reform options « Carbon Pulse,2017-02-06,,carbon-pulse.com,English,France,1,9,eu_ets_strong;eu_context;carbon_terms=1,YES,1,"[""YES"", ""YES"", ""YES""]","[""Lawmakers advancing EU ETS reform options signals potential policy clarity and market stability, which can support carbon price confidence."", ""Lawmakers advancing EU ETS reform options signals potential policy clarity and market stability, which can support carbon price confidence."", ""Lawmakers advancing EU ETS reform options signals potential policy clarity and market stability, which can support carbon price confidence.""]"
23,http://www.edie.net/news/11/Does-Brexit-offer-a-golden-opportunity-to-pursue-ETS-alternatives/,,Does Brexit offer a  golden opportunity  to pursue EU ETS alternatives ? ,2017-02-08,http://edienet.s3.amazonaws.com/news/images/34458.jpg,edie.net,English,United Kingdom,1,8,eu_ets_strong;eu_context,UNKNOWN,0,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]","[""The headline suggests potential market shifts due to Brexit, but lacks concrete data to determine immediate impact on EU ETS pricing."", ""The headline suggests potential market shifts due to Brexit, but lacks concrete data to determine immediate impact on EU ETS pricing."", ""The headline suggests potential market shifts due to Brexit, but lacks concrete data to determine immediate impact on EU ETS pricing.""]"
27,http://carbon-pulse.com/30189/,,EU Market : EUAs nudge higher on oil,2017-02-09,,carbon-pulse.com,English,France,1,10,eu_ets_strong;eu_context;carbon_terms=1;energy_driver,YES,1,"[""YES"", ""YES"", ""YES""]","[""Higher EUA prices driven by oil market dynamics suggest increased demand or tightening supply in the EU ETS."", ""Higher EUA prices driven by oil market dynamics suggest increased demand or tightening supply in the EU ETS."", ""Higher EUA prices driven by oil market dynamics suggest increased demand or tightening supply in the EU ETS.""]"
31,http://www.euractiv.com/section/climate-environment/news/carbon-market-reform-vote-puts-eu-cement-sector-in-the-spotlight/,,Carbon market reform vote puts EU cement sector in the spotlight – EurActiv . com,2017-02-10,http://www.euractiv.com/wp-content/uploads/sites/2/2017/02/Cement-factory-800x450.jpg,euractiv.com,English,Germany,1,4,eu_context;carbon_terms=2,YES,1,"[""YES"", ""YES"", ""YES""]","[""The reform vote signals potential policy shifts that could increase carbon pricing pressure on heavy emitters like cement, boosting short-term ETS prices."", ""The reform vote signals potential policy shifts that could increase carbon pricing pressure on heavy emitters like cement, boosting short-term ETS prices."", ""The reform vote signals potential policy shifts that could increase carbon pricing pressure on heavy emitters like cement, boosting short-term ETS prices.""]"
35,http://carbon-pulse.com/30520/,,COMMENT : Should the united kingdom stay or should it go ? The consequences of a divorce with the EU ETS « Carbon Pulse,2017-02-14,,carbon-pulse.com,English,France,1,9,eu_ets_strong;eu_context;carbon_terms=1,YES,1,"[""YES"", ""YES"", ""YES""]","[""A UK departure from the EU ETS could create market uncertainty and potential price volatility, but short-term pricing may stabilize or even rise due to reduced supply."", ""A UK departure from the EU ETS could create market uncertainty and potential price volatility, but short-term pricing may stabilize or even rise due to reduced supply."", ""A UK departure from the EU ETS could create market uncertainty and potential price volatility, but short-term pricing may stabilize or even rise due to reduced supply.""]"
39,http://www.handyshippingguide.com/shipping-news/merchant-shipping-to-be-included-in-european-emissions-trading-scheme_7772,,Merchant Shipping to be Included in European Emissions Trading Scheme,2017-02-15,,handyshippingguide.com,English,United Kingdom,1,11,eu_ets_strong;eu_context;carbon_terms=3,YES,1,"[""YES"", ""YES"", ""YES""]","[""Adding merchant shipping to the EU ETS expands the scope of carbon pricing, likely increasing demand and pushing prices higher in the short term."", ""Adding merchant shipping to the EU ETS expands the scope of carbon pricing, likely increasing demand and pushing prices higher in the short term."", ""Adding merchant shipping to the EU ETS expands the scope of carbon pricing, likely increasing demand and pushing prices higher in the short term.""]"
