_row_id,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,_query_id,relevance_score,relevance_hits,llm_vote,llm_score,llm_votes,llm_rationales
1,https://fee.org/articles/why-did-leon-trotsky-favor-eugenics/,https://mercury.postlight.com/amp?url=https://fee.org/articles/why-did-leon-trotsky-favor-eugenics/,Why Did Leon Trotsky Favor Eugenics ? ,2017-01-01,https://fee.org/media/20077/trotskycolor.png?anchor=center&mode=crop&height=466&widthratio=2.0171673819742489270386266094&rnd=131277431490000000,fee.org,English,,2,2,eu_context,UNKNOWN,0,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]","[""This headline is unrelated to EU ETS market dynamics and lacks financial or carbon trading relevance."", ""This headline is unrelated to EU ETS market dynamics and lacks financial or carbon trading relevance."", ""This headline is unrelated to EU ETS market dynamics and lacks financial or carbon trading relevance.""]"
5,http://carbon-pulse.com/29889/,,EU Market : EUAs hold on to recent gains as experts diverge on next moves « Carbon Pulse,2017-02-01,,carbon-pulse.com,English,France,1,10,eu_ets_strong;eu_context;carbon_terms=2,YES,1,"[""YES"", ""YES"", ""YES""]","[""EUAs holding recent gains signal market confidence and potential upward pressure on carbon prices."", ""EUAs holding recent gains signal market confidence and potential upward pressure on carbon prices."", ""EUAs holding recent gains signal market confidence and potential upward pressure on carbon prices.""]"
9,http://www.4-traders.com/news/EEX-Auction-News-EU-Auction--23799037/,http://www.4-traders.com/amp/news/EEX-Auction-News-EU-Auction--23799037/,EEX Auction News : EU Auction,2017-02-02,,4-traders.com,English,United States,1,9,eu_ets_strong;eu_context;carbon_terms=1,UNKNOWN,0,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]","[""The headline lacks specific details about auction outcomes, volumes, or market sentiment to assess short-term impact on EU ETS prices."", ""The headline lacks specific details about auction outcomes, volumes, or market sentiment to assess short-term impact on EU ETS prices."", ""The headline lacks specific details about auction outcomes, volumes, or market sentiment to assess short-term impact on EU ETS prices.""]"
13,https://www.environmentalleader.com/2017/02/europe-rethink-calculates-carbon-emissions-aviation/,,Europe to Rethink How it Calculates Carbon Emissions from Aviation,2017-02-03,https://www.environmentalleader.com/wp-content/uploads/2017/02/2017-02-03_14-09-42-e1486149019158.jpg,environmentalleader.com,English,United States,1,5,eu_context;carbon_terms=3,UNKNOWN,0,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]","[""Rethinking aviation emissions calculations could introduce uncertainty or complexity that may affect market pricing in the short term."", ""Rethinking aviation emissions calculations could introduce uncertainty or complexity that may affect market pricing in the short term."", ""Rethinking aviation emissions calculations could introduce uncertainty or complexity that may affect market pricing in the short term.""]"
17,https://www.traveldailynews.com/post/european-commission-adopts-proposal-for-aviation-emissions-trading-system,,European Commission adopts proposal for aviation emissions trading system,2017-02-06,https://www.traveldailynews.com/assets/thumbnails/c4/c44fa128f003e3e307d4d86f8dcce599.jpg,traveldailynews.com,English,United States,1,11,eu_ets_strong;eu_context;carbon_terms=3,YES,1,"[""YES"", ""YES"", ""YES""]","[""This expands the EU ETS scope to aviation, potentially increasing demand and stabilizing or raising carbon prices."", ""This expands the EU ETS scope to aviation, potentially increasing demand and stabilizing or raising carbon prices."", ""This expands the EU ETS scope to aviation, potentially increasing demand and stabilizing or raising carbon prices.""]"
21,http://carbon-pulse.com/30126/,,EU Market : EUAs keep sliding as market awaits EU Parliament vote « Carbon Pulse,2017-02-07,,carbon-pulse.com,English,France,1,10,eu_ets_strong;eu_context;carbon_terms=2,NO,-1,"[""NO"", ""NO"", ""NO""]","[""EU ETS carbon prices are under pressure as market participants await a potentially disruptive parliamentary vote."", ""EU ETS carbon prices are under pressure as market participants await a potentially disruptive parliamentary vote."", ""EU ETS carbon prices are under pressure as market participants await a potentially disruptive parliamentary vote.""]"
25,http://www.cemnet.com/News/story/161047/european-parliament-to-vote-on-removing-cement-sector-ets-exemption.html,,European Parliament to vote on removing cement sector ETS exemption,2017-02-08,,cemnet.com,English,United States,1,2,eu_context,YES,1,"[""YES"", ""YES"", ""YES""]","[""Removing the cement sector\u2019s ETS exemption will likely increase carbon pricing pressure by expanding the scope of emissions trading."", ""Removing the cement sector\u2019s ETS exemption will likely increase carbon pricing pressure by expanding the scope of emissions trading."", ""Removing the cement sector\u2019s ETS exemption will likely increase carbon pricing pressure by expanding the scope of emissions trading.""]"
29,https://www.gov.uk/government/publications/aircraft-operator-guide-how-to-comply-with-phase-iii-of-the-eu-ets,,EU ETS Phase III : guidance for aircraft operators,2017-02-10,https://assets.publishing.service.gov.uk/static/opengraph-image-a1f7d89ffd0782738b1aeb0da37842d8bd0addbd724b8e58c3edbc7287cc11de.png,gov.uk,English,United Kingdom,1,8,eu_ets_strong;eu_context,UNKNOWN,0,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]","[""The headline does not specify whether the guidance will increase or decrease carbon pricing expectations or affect market sentiment."", ""The headline does not specify whether the guidance will increase or decrease carbon pricing expectations or affect market sentiment."", ""The headline does not specify whether the guidance will increase or decrease carbon pricing expectations or affect market sentiment.""]"
33,https://euobserver.com/environment/136878,,MEPs set for crunch vote on EU carbon scheme,2017-02-13,https://s3.eu-central-1.amazonaws.com/euobs-media/81f48bc42bac8fde924e27875b013921-480x.jpg,euobserver.com,English,Germany,1,3,eu_context;carbon_terms=1,YES,1,"[""YES"", ""YES"", ""YES""]","[""A crunch vote by MEPs signals potential legislative momentum that could stabilize or boost EU ETS prices by clarifying market rules."", ""A crunch vote by MEPs signals potential legislative momentum that could stabilize or boost EU ETS prices by clarifying market rules."", ""A crunch vote by MEPs signals potential legislative momentum that could stabilize or boost EU ETS prices by clarifying market rules.""]"
37,https://worldmaritimenews.com/archives/212748/shipping-industry-calls-for-inclusion-of-ship-co2-in-eu-ets/,,Shipping Industry Calls for Inclusion of Ship CO2 in EU ETS,2017-02-14,http://worldmaritimenews.com/wp-content/uploads/2017/02/co2.jpg,worldmaritimenews.com,English,Singapore,1,8,eu_ets_strong;eu_context,YES,1,"[""YES"", ""YES"", ""YES""]","[""Inclusion of ship CO\u2082 emissions in the EU ETS expands the market\u2019s scope, increasing demand for carbon credits and potentially boosting prices."", ""Inclusion of ship CO\u2082 emissions in the EU ETS expands the market\u2019s scope, increasing demand for carbon credits and potentially boosting prices."", ""Inclusion of ship CO\u2082 emissions in the EU ETS expands the market\u2019s scope, increasing demand for carbon credits and potentially boosting prices.""]"
41,http://www.seatrade-maritime.com/news/europe/industry-associations-hit-out-as-eu-persists-with-plan-to-include-shipping-in-emissions-trading-system.html,,Industry associations hit out as EU persists with plan to include shipping in Emissions Trading System,2017-02-16,http://www.seatrade-maritime.com/media/k2/items/cache/570f746cec16d783a7057aa2ddb17062_XL.jpg,seatrade-maritime.com,English,China,1,11,eu_ets_strong;eu_context;carbon_terms=3,YES,1,"[""YES"", ""YES"", ""YES""]","[""Industry backlash may pressure the EU to delay or soften the shipping inclusion, potentially stabilizing or slightly lowering short-term carbon prices."", ""Industry backlash may pressure the EU to delay or soften the shipping inclusion, potentially stabilizing or slightly lowering short-term carbon prices."", ""Industry backlash may pressure the EU to delay or soften the shipping inclusion, potentially stabilizing or slightly lowering short-term carbon prices.""]"
45,http://www.thehindu.com/todays-paper/tp-in-school/EU-parliament-backs-draft-carbon-trading-reforms/article17315293.ece,,EU parliament backs draft carbon trading reforms,2017-02-17,http://www.thehindu.com/todays-paper/tp-in-school/article17315292.ece/ALTERNATES/LANDSCAPE_615/17isbs%20EU%20CLIMA%20GM519G7KN%203%20jpg%20jpg,thehindu.com,English,India,1,4,eu_context;carbon_terms=2,YES,1,"[""YES"", ""YES"", ""YES""]","[""This signals legislative momentum that could boost carbon price expectations by tightening emissions caps or expanding coverage."", ""This signals legislative momentum that could boost carbon price expectations by tightening emissions caps or expanding coverage."", ""This signals legislative momentum that could boost carbon price expectations by tightening emissions caps or expanding coverage.""]"
49,http://peakoil.com/enviroment/eu-coal-plants-should-all-close-by-2030,,EU Coal Plants  Should all Close by 2030  ,2017-02-18,,peakoil.com,English,United States,1,3,eu_context;energy_driver,YES,1,"[""YES"", ""YES"", ""YES""]","[""This headline signals a policy-driven push to phase out coal, likely increasing carbon demand and boosting EU ETS prices."", ""This headline signals a policy-driven push to phase out coal, likely increasing carbon demand and boosting EU ETS prices."", ""This headline signals a policy-driven push to phase out coal, likely increasing carbon demand and boosting EU ETS prices.""]"
53,http://www.miningglobal.com/operations/2230/What-is-the-future-of-coal-power-in-Europe,,What is the future of coal power in Europe ? ,2017-02-21,http://www.miningglobal.com/public/uploads/large/large_502f1400_da55_be58_242a_473c0ed5e539.jpg,miningglobal.com,English,Australia,1,3,eu_context;energy_driver,UNKNOWN,0,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]","[""The headline\u2019s ambiguity about coal\u2019s future in Europe doesn\u2019t directly signal short-term price movement in the EU ETS."", ""The headline\u2019s ambiguity about coal\u2019s future in Europe doesn\u2019t directly signal short-term price movement in the EU ETS."", ""The headline\u2019s ambiguity about coal\u2019s future in Europe doesn\u2019t directly signal short-term price movement in the EU ETS.""]"
57,https://www.lrb.co.uk/v29/n07/donald-mackenzie/the-political-economy-of-carbon-trading,,Donald MacKenzie · The Political Economy of Carbon Trading : A Ratchet · LRB 5 April 2007,2017-02-22,https://cdn.lrb.co.uk/assets/covers/q/cov2907.jpg?1447593538,lrb.co.uk,English,United Kingdom,1,2,carbon_terms=2,UNKNOWN,0,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]","[""The article\u2019s focus on political economy and ratchet mechanisms doesn\u2019t provide actionable market signals for short-term EU ETS price movements."", ""The article\u2019s focus on political economy and ratchet mechanisms doesn\u2019t provide actionable market signals for short-term EU ETS price movements."", ""The article\u2019s focus on political economy and ratchet mechanisms doesn\u2019t provide actionable market signals for short-term EU ETS price movements.""]"
