_row_id,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,_query_id,relevance_score,relevance_hits,llm_vote,llm_score,llm_votes,llm_rationales,llm_importance,llm_vote_agreement,llm_score_importance_nopen,llm_score_importance,llm_importance_votes
1,https://fee.org/articles/why-did-leon-trotsky-favor-eugenics/,https://mercury.postlight.com/amp?url=https://fee.org/articles/why-did-leon-trotsky-favor-eugenics/,Why Did Leon Trotsky Favor Eugenics ? ,2017-01-01,https://fee.org/media/20077/trotskycolor.png?anchor=center&mode=crop&height=466&widthratio=2.0171673819742489270386266094&rnd=131277431490000000,fee.org,English,,2,2,eu_context,UNKNOWN,0,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]","["""", """", """"]",5,1.0,0.0,0.0,"[5, 3, 7]"
5,http://carbon-pulse.com/29889/,,EU Market : EUAs hold on to recent gains as experts diverge on next moves « Carbon Pulse,2017-02-01,,carbon-pulse.com,English,France,1,10,eu_ets_strong;eu_context;carbon_terms=2,UNKNOWN,0,"[""UNKNOWN"", ""YES"", ""NO""]","["""", """", """"]",7,0.3333333333333333,0.0,0.0,"[7, 6, 5]"
9,http://www.4-traders.com/news/EEX-Auction-News-EU-Auction--23799037/,http://www.4-traders.com/amp/news/EEX-Auction-News-EU-Auction--23799037/,EEX Auction News : EU Auction,2017-02-02,,4-traders.com,English,United States,1,9,eu_ets_strong;eu_context;carbon_terms=1,UNKNOWN,0,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]","["""", """", """"]",6,1.0,0.0,0.0,"[5, 6, 7]"
13,https://www.environmentalleader.com/2017/02/europe-rethink-calculates-carbon-emissions-aviation/,,Europe to Rethink How it Calculates Carbon Emissions from Aviation,2017-02-03,https://www.environmentalleader.com/wp-content/uploads/2017/02/2017-02-03_14-09-42-e1486149019158.jpg,environmentalleader.com,English,United States,1,5,eu_context;carbon_terms=3,YES,1,"[""YES"", ""YES"", ""UNKNOWN""]","["""", """", """"]",8,0.6666666666666666,0.8,0.5333333333333333,"[8, 7, 5]"
17,https://www.traveldailynews.com/post/european-commission-adopts-proposal-for-aviation-emissions-trading-system,,European Commission adopts proposal for aviation emissions trading system,2017-02-06,https://www.traveldailynews.com/assets/thumbnails/c4/c44fa128f003e3e307d4d86f8dcce599.jpg,traveldailynews.com,English,United States,1,11,eu_ets_strong;eu_context;carbon_terms=3,YES,1,"[""YES"", ""YES"", ""UNKNOWN""]","["""", """", """"]",8,0.6666666666666666,0.8,0.5333333333333333,"[8, 7, 5]"
21,http://carbon-pulse.com/30126/,,EU Market : EUAs keep sliding as market awaits EU Parliament vote « Carbon Pulse,2017-02-07,,carbon-pulse.com,English,France,1,10,eu_ets_strong;eu_context;carbon_terms=2,UNKNOWN,0,"[""UNKNOWN"", ""YES"", ""NO""]","["""", """", """"]",7,0.3333333333333333,0.0,0.0,"[7, 6, 5]"
25,http://www.cemnet.com/News/story/161047/european-parliament-to-vote-on-removing-cement-sector-ets-exemption.html,,European Parliament to vote on removing cement sector ETS exemption,2017-02-08,,cemnet.com,English,United States,1,2,eu_context,YES,1,"[""YES"", ""NO"", ""UNKNOWN""]","["""", """", """"]",8,0.3333333333333333,0.8,0.26666666666666666,"[8, 6, 4]"
29,https://www.gov.uk/government/publications/aircraft-operator-guide-how-to-comply-with-phase-iii-of-the-eu-ets,,EU ETS Phase III : guidance for aircraft operators,2017-02-10,https://assets.publishing.service.gov.uk/static/opengraph-image-a1f7d89ffd0782738b1aeb0da37842d8bd0addbd724b8e58c3edbc7287cc11de.png,gov.uk,English,United Kingdom,1,8,eu_ets_strong;eu_context,YES,1,"[""YES"", ""UNKNOWN"", ""NO""]","["""", """", """"]",8,0.3333333333333333,0.8,0.26666666666666666,"[8, 5, 3]"
33,https://euobserver.com/environment/136878,,MEPs set for crunch vote on EU carbon scheme,2017-02-13,https://s3.eu-central-1.amazonaws.com/euobs-media/81f48bc42bac8fde924e27875b013921-480x.jpg,euobserver.com,English,Germany,1,3,eu_context;carbon_terms=1,YES,1,"[""YES"", ""NO"", ""UNKNOWN""]","["""", """", """"]",8,0.3333333333333333,0.8,0.26666666666666666,"[8, 6, 4]"
37,https://worldmaritimenews.com/archives/212748/shipping-industry-calls-for-inclusion-of-ship-co2-in-eu-ets/,,Shipping Industry Calls for Inclusion of Ship CO2 in EU ETS,2017-02-14,http://worldmaritimenews.com/wp-content/uploads/2017/02/co2.jpg,worldmaritimenews.com,English,Singapore,1,8,eu_ets_strong;eu_context,YES,1,"[""YES"", ""YES"", ""UNKNOWN""]","["""", """", """"]",8,0.6666666666666666,0.8,0.5333333333333333,"[8, 7, 5]"
