,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
More information,,https://www.eex.com/en/markets/environmental-markets/emissions-auctions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,EEX Emissions market / Primary Market Auction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
References,,,,,Prices,,,,,Volumes,,,,,,,,,,,Participants,,Revenue,,Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Auction Name,Contract,Status,Auction Price €/tCO2,Minimum Bid €/tCO2,Maximum Bid €/tCO2,Mean €/tCO2,Median €/tCO2,Auction Volume tCO2,Total Amount of Bids,Number of bids submitted,Number of successful bids,Average number of bids per bidder,Average bid size,Average volume bid per bidder,Standard deviation of bid volume per bidder,Average volume won per bidder,Standard deviation of volume won per bidder,Cover Ratio,Total Number of Bidders,Number of Successful Bidders,Total Revenue €,Country,"Austria
(AT)","Belgium
(BE)","Bulgaria
(BG)","Cyprus
(CY)","Czech Republic
(CZ)","Germany
(DE)","Denmark
(DK)","Estonia
(EE)","Greece
(EL)","Spain
(ES)","Finland
(FI)","France
(FR)","Croatia
(HR)","Hungary
(HU)","Ireland
(IE)","Innovation Fund
(IF)","Iceland
(IS)","Italy
(IT)","InnoFund RRF
(IX)","Liechtenstein
(LI)","Lithuania
(LT)","Luxembourg
(LU)","Latvia
(LV)","Modernisation Fund
(MF)","Malta
(MT)","MS RRF
(MX)","Netherlands
(NL)","Norway
(NO)","Poland
(PL)","Portugal
(PT)","Romania
(RO)","Sweden
(SE)","Slovenia
(SI)","Slovakia
(SK)","Northern Ireland
(XI)"
16.12.2024,11:00,Auction 4. Period CAP3 EU,T3PA,successful,63.64,62.50,120.00,65.61,63.59,"3,248,000","4,785,500",96,44,4.36,"49,849","217,523","273,653","154,667","234,115",1.47,22,21,"206,702,720",EU,"2,227,400","3,182,000","6,300,360","413,660","4,454,800",,"2,450,140","2,036,480","7,286,780","17,691,920","2,641,060","11,327,920","827,320","5,759,420","763,680","15,146,320","127,280","18,741,980","21,287,580","31,820","954,600",0,"445,480","41,270,540","763,680","17,182,800","6,459,460","1,813,740",,"4,009,320","6,682,200","1,495,540","954,600","1,972,840",
13.12.2024,11:00,Auction 4. Period DE,T3PA,successful,66.07,60.00,120.00,67.44,66.05,"1,890,500","3,437,500",77,37,3.35,"44,643","149,457","180,166","94,525","145,037",1.82,23,20,"124,905,335",DE,,,,,,"124,905,335",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.12.2024,11:00,Auction 4. Period CAP3 EU,T3PA,successful,67.95,65.00,120.00,68.43,67.68,"3,287,500","5,356,000",96,33,4.36,"55,792","243,455","310,646","193,382","306,247",1.63,22,17,"223,385,625",EU,"2,344,275","4,077,000","6,285,375","713,475","5,096,250",,"2,208,375","1,936,575","8,221,950","19,365,750","3,159,675","11,415,600","883,350","6,455,250","1,019,250","16,953,525",0,"19,637,550","24,903,675",0,"645,525",0,"475,650","46,409,850","305,775","16,579,800","6,998,850","1,325,025",,"3,975,075","7,032,825","1,698,750","1,019,250","2,242,350",
11.12.2024,11:00,EUAA Auction CAP3 PL,EAA3,successful,69.17,67.00,70.00,68.83,68.97,"198,000","1,035,000",46,8,4.60,"22,500","103,500","72,125","33,000","9,967",5.23,10,6,"13,695,660",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,695,660",,,,,,
10.12.2024,11:00,Auction 4. Period CAP3 EU,T3PA,successful,67.00,59.99,120.00,67.29,66.68,"3,287,500","5,502,500",94,24,3.62,"58,537","211,635","312,234","173,026","295,139",1.67,26,19,"220,262,500",EU,"2,311,500","4,020,000","6,197,500","703,500","5,025,000",,"2,177,500","1,909,500","8,107,000","19,095,000","3,115,500","11,256,000","871,000","6,365,000","1,005,000","16,716,500",0,"19,363,000","24,555,500",0,"636,500",0,"469,000","45,761,000","301,500","16,348,000","6,901,000","1,306,500",,"3,919,500","6,934,500","1,675,000","1,005,000","2,211,000",
09.12.2024,11:00,Auction 4. Period CAP3 EU,T3PA,successful,67.70,66.05,120.00,68.13,67.45,"3,287,500","4,598,000",97,27,4.04,"47,402","191,583","249,507","182,639","236,749",1.40,24,18,"222,563,750",EU,"2,335,650","4,062,000","6,262,250","710,850","5,077,500",,"2,200,250","1,929,450","8,191,700","19,294,500","3,148,050","11,373,600","880,100","6,431,500","1,015,500","16,891,150",0,"19,565,300","24,812,050",0,"643,150",0,"473,900","46,239,100","304,650","16,518,800","6,973,100","1,320,150",,"3,960,450","7,006,950","1,692,500","1,015,500","2,234,100",
06.12.2024,11:00,Auction 4. Period DE,T3PA,successful,67.25,65.95,120.00,69.10,67.09,"1,886,500","3,757,000",111,35,4.44,"33,847","150,280","189,844","99,289","184,052",1.99,25,19,"126,867,125",DE,,,,,,"126,867,125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.12.2024,11:00,Auction 4. Period CAP3 EU,T3PA,successful,67.62,65.81,120.00,69.44,67.39,"3,287,500","5,641,000",110,38,4.23,"51,282","216,962","268,443","149,432","234,460",1.72,26,22,"222,300,750",EU,"2,332,890","4,057,200","6,254,850","710,010","5,071,500",,"2,197,650","1,927,170","8,182,020","19,271,700","3,144,330","11,360,160","879,060","6,423,900","1,014,300","16,871,190",0,"19,542,180","24,782,730",0,"642,390",0,"473,340","46,184,460","304,290","16,499,280","6,964,860","1,318,590",,"3,955,770","6,998,670","1,690,500","1,014,300","2,231,460",
04.12.2024,11:00,Auction 4. Period CAP3 PL,T3PA,successful,67.42,65.35,120.00,67.97,67.46,"2,833,500","4,253,000",103,55,3.96,"41,291","163,577","206,168","113,340","178,332",1.50,26,25,"191,034,570",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"191,034,570",,,,,,
03.12.2024,11:00,Auction 4. Period CAP3 EU,T3PA,successful,68.12,66.02,120.00,70.90,67.89,"3,287,500","5,522,500",106,36,4.42,"52,099","230,104","259,688","164,375","222,010",1.68,24,20,"223,944,500",EU,"2,350,140","4,087,200","6,301,100","715,260","5,109,000",,"2,213,900","1,941,420","8,242,520","19,414,200","3,167,580","11,444,160","885,560","6,471,400","1,021,800","16,995,940",0,"19,686,680","24,965,980",0,"647,140",0,"476,840","46,525,960","306,540","16,621,280","7,016,360","1,328,340",,"3,985,020","7,050,420","1,703,000","1,021,800","2,247,960",
02.12.2024,11:00,Auction 4. Period CAP3 EU,T3PA,successful,69.40,65.00,120.00,69.91,69.05,"3,287,500","5,481,000",125,33,4.81,"43,848","210,808","272,679","164,375","240,904",1.67,26,20,"228,152,500",EU,"2,394,300","4,164,000","6,419,500","728,700","5,205,000",,"2,255,500","1,977,900","8,397,400","19,779,000","3,227,100","11,659,200","902,200","6,593,000","1,041,000","17,315,300",0,"20,056,600","25,435,100",0,"659,300",0,"485,800","47,400,200","312,300","16,933,600","7,148,200","1,353,300",,"4,059,900","7,182,900","1,735,000","1,041,000","2,290,200",
29.11.2024,11:00,Auction 4. Period DE,T3PA,successful,67.30,65.10,120.00,68.36,67.25,"1,886,500","3,376,500",104,47,4.00,"32,466","129,865","170,276","82,022","145,581",1.79,26,23,"126,961,450",DE,,,,,,"126,961,450",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
