,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
More information,,https://www.eex.com/en/markets/environmental-markets/emissions-auctions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,EEX Emissions market / Primary Market Auction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
References,,,,,Prices,,,,,Volumes,,,,,,,,,,,Participants,,Revenue,,Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Auction Name,Contract,Status,Auction Price €/tCO2,Minimum Bid €/tCO2,Maximum Bid €/tCO2,Mean €/tCO2,Median €/tCO2,Auction Volume tCO2,Total Amount of Bids,Number of bids submitted,Number of successful bids,Average number of bids per bidder,Average bid size,Average volume bid per bidder,Standard deviation of bid volume per bidder,Average volume won per bidder,Standard deviation of volume won per bidder,Cover Ratio,Total Number of Bidders,Number of Successful Bidders,Total Revenue €,Country,"Austria
(AT)","Belgium
(BE)","Bulgaria
(BG)","Cyprus
(CY)","Czech Republic
(CZ)","Germany
(DE)","Denmark
(DK)","Estonia
(EE)","Greece
(EL)","Spain
(ES)","Finland
(FI)","France
(FR)","Croatia
(HR)","Hungary
(HU)","Ireland
(IE)","Innovation Fund
(IF)","Iceland
(IS)","Italy
(IT)","Liechtenstein
(LI)","Lithuania
(LT)","Luxembourg
(LU)","Latvia
(LV)","Modernisation Fund
(MF)","Malta
(MT)","Netherlands
(NL)","Norway
(NO)","Poland
(PL)","Portugal
(PT)","Romania
(RO)","Sweden
(SE)","Slovenia
(SI)","Slovakia
(SK)","Northern Ireland
(XI)"
19.12.2022,11:01,Auction 4. Period CAP3 EU,T3PA,successful,84.10,75.00,95.00,85.95,85.24,"2,568,500","3,235,500",63,57,3.94,"51,357","202,219","276,989","197,577","280,314",1.26,16,13,"216,010,850",EU,"2,186,600","5,340,350","9,251,000","1,051,250","6,223,400",,"3,490,150","1,976,350","10,470,450","25,776,650","4,457,300","15,095,950","1,219,450","5,760,850",0,"26,071,000",0,"26,575,600","42,050","168,200",0,"1,471,750","42,975,100","798,950","8,704,350","1,555,850",,"5,172,150","3,700,400","1,345,600","2,018,400","3,111,700",
16.12.2022,11:00,Auction 4. Period DE,T3PA,successful,83.41,45.00,92.00,83.57,83.70,"1,865,500","4,316,500",83,51,4.61,"52,006","239,806","346,218","116,594","153,157",2.31,18,16,"155,601,355",DE,,,,,,"155,601,355",,,,,,,,,,,,,,,,,,,,,,,,,,,
15.12.2022,11:00,Auction 4. Period CAP3 EU,T3PA,successful,86.16,45.00,92.01,85.59,86.15,"2,510,500","4,378,500",66,31,3.88,"66,341","257,559","370,674","179,321","212,582",1.74,17,14,"216,304,680",EU,"3,187,920","5,471,160","8,788,320","818,520","5,815,800",,"2,972,520","2,714,040","10,770,000","26,106,480","4,221,840","15,250,320","1,163,160","4,954,200",0,"25,331,040",0,"26,278,800",0,"861,600",0,"646,200","43,295,400","301,560","9,348,360","1,809,360",,"5,428,080","4,264,920","2,283,240","1,378,560","2,843,280",
13.12.2022,11:02,Auction 4. Period CAP3 EU,T3PA,successful,89.01,45.00,95.00,88.13,89.02,"2,510,500","4,993,500",82,42,4.56,"60,896","277,417","360,612","179,321","214,991",1.99,18,14,"223,459,605",EU,"3,293,370","5,652,135","9,079,020","845,595","6,008,175",,"3,070,845","2,803,815","11,126,250","26,970,030","4,361,490","15,754,770","1,201,635","5,118,075",0,"26,168,940",0,"27,148,050",0,"890,100",0,"667,575","44,727,525","311,535","9,657,585","1,869,210",,"5,607,630","4,405,995","2,358,765","1,424,160","2,937,330",
12.12.2022,11:00,Auction 4. Period CAP3 EU,T3PA,successful,88.35,65.00,95.00,87.70,87.99,"2,510,500","5,522,500",104,39,4.95,"53,101","262,976","365,700","167,367","225,472",2.20,21,15,"221,802,675",EU,"3,268,950","5,610,225","9,011,700","839,325","5,963,625",,"3,048,075","2,783,025","11,043,750","26,770,050","4,329,150","15,637,950","1,192,725","5,080,125",0,"25,974,900",0,"26,946,750",0,"883,500",0,"662,625","44,395,875","309,225","9,585,975","1,855,350",,"5,566,050","4,373,325","2,341,275","1,413,600","2,915,550",
09.12.2022,11:00,Auction 4. Period DE,T3PA,successful,88.26,45.00,96.00,87.14,88.21,"1,861,500","4,285,000",76,36,4.47,"56,382","252,059","386,495","132,964","262,744",2.30,17,14,"164,295,990",DE,,,,,,"164,295,990",,,,,,,,,,,,,,,,,,,,,,,,,,,
08.12.2022,11:00,Auction 4. Period CAP3 EU,T3PA,successful,87.91,45.00,92.00,86.72,87.51,"2,510,500","4,895,000",92,33,4.60,"53,207","244,750","360,524","167,367","219,384",1.95,20,15,"220,698,055",EU,"3,252,670","5,582,285","8,966,820","835,145","5,933,925",,"3,032,895","2,769,165","10,988,750","26,636,730","4,307,590","15,560,070","1,186,785","5,054,825",0,"25,845,540",0,"26,812,550",0,"879,100",0,"659,325","44,174,775","307,685","9,538,235","1,846,110",,"5,538,330","4,351,545","2,329,615","1,406,560","2,901,030",
07.12.2022,11:00,Auction 4. Period CAP3 PL,T3PA,successful,87.00,70.00,90.00,87.46,87.98,"3,102,500","3,691,000",72,60,3.79,"51,264","194,263","296,921","172,361","299,141",1.19,19,18,"269,917,500",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"269,917,500",,,,,,
06.12.2022,11:00,Auction 4. Period CAP3 EU,T3PA,successful,86.48,45.00,89.00,85.50,86.34,"2,510,500","5,577,500",65,29,3.61,"85,808","309,861","612,950","156,906","307,654",2.22,18,16,"217,108,040",EU,"3,199,760","5,491,480","8,820,960","821,560","5,837,400",,"2,983,560","2,724,120","10,810,000","26,203,440","4,237,520","15,306,960","1,167,480","4,972,600",0,"25,425,120",0,"26,376,400",0,"864,800",0,"648,600","43,456,200","302,680","9,383,080","1,816,080",,"5,448,240","4,280,760","2,291,720","1,383,680","2,853,840",
05.12.2022,11:00,Auction 4. Period CAP3 EU,T3PA,successful,85.69,45.00,88.00,84.65,85.56,"2,510,500","5,270,000",76,32,3.80,"69,342","263,500","403,820","167,367","308,706",2.10,20,15,"215,124,745",EU,"3,170,530","5,441,315","8,740,380","814,055","5,784,075",,"2,956,305","2,699,235","10,711,250","25,964,070","4,198,810","15,167,130","1,156,815","4,927,175",0,"25,192,860",0,"26,135,450",0,"856,900",0,"642,675","43,059,225","299,915","9,297,365","1,799,490",,"5,398,470","4,241,655","2,270,785","1,371,040","2,827,770",
02.12.2022,11:00,Auction 4. Period DE,T3PA,successful,85.21,45.00,88.07,84.23,85.21,"1,861,500","4,229,000",69,35,3.63,"61,290","222,579","358,404","132,964","215,757",2.27,19,14,"158,618,415",DE,,,,,,"158,618,415",,,,,,,,,,,,,,,,,,,,,,,,,,,
01.12.2022,11:00,Auction 4. Period CAP3 EU,T3PA,successful,86.11,45.00,95.00,85.06,86.25,"2,510,500","5,094,000",73,40,3.48,"69,781","242,571","347,570","147,676","209,970",2.03,21,17,"216,179,155",EU,"3,186,070","5,467,985","8,783,220","818,045","5,812,425",,"2,970,795","2,712,465","10,763,750","26,091,330","4,219,390","15,241,470","1,162,485","4,951,325",0,"25,316,340",0,"26,263,550",0,"861,100",0,"645,825","43,270,275","301,385","9,342,935","1,808,310",,"5,424,930","4,262,445","2,281,915","1,377,760","2,841,630",
