,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
More information,,https://www.eex.com/en/markets/environmental-markets/emissions-auctions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,EEX Emissions market / Primary Market Auction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
References,,,,,Prices,,,,,Volumes,,,,,,,,,,,Participants,,Revenue,,Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Auction Name,Contract,Status,Auction Price €/tCO2,Minimum Bid €/tCO2,Maximum Bid €/tCO2,Mean €/tCO2,Median €/tCO2,Auction Volume tCO2,Total Amount of Bids,Number of bids submitted,Number of successful bids,Average number of bids per bidder,Average bid size,Average volume bid per bidder,Standard deviation of bid volume per bidder,Average volume won per bidder,Standard deviation of volume won per bidder,Cover Ratio,Total Number of Bidders,Number of Successful Bidders,Total Revenue €,Country,"Austria
(AT)","Belgium
(BE)","Bulgaria
(BG)","Cyprus
(CY)","Czech Republic
(CZ)","Germany
(DE)","Denmark
(DK)","Estonia
(EE)","Greece
(EL)","Spain
(ES)","Finland
(FI)","France
(FR)","Croatia
(HR)","Hungary
(HU)","Ireland
(IE)","Innovation Fund
(IF)","Iceland
(IS)","Italy
(IT)","Liechtenstein
(LI)","Lithuania
(LT)","Luxembourg
(LU)","Latvia
(LV)","Modernisation Fund
(MF)","Malta
(MT)","Netherlands
(NL)","Norway
(NO)","Poland
(PL)","Portugal
(PT)","Romania
(RO)","Sweden
(SE)","Slovenia
(SI)","Slovakia
(SK)"
20.12.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,74.57,55.00,90.00,74.31,74.92,"2,542,500","3,082,000",66,47,3.67,"46,697","171,222","222,297","158,906","233,644",1.21,18,16,"189,594,225",EU,"2,237,100","5,331,755","7,606,140","484,705","4,735,195",,"2,237,100","2,870,945","8,799,260","22,110,005","3,355,650","13,385,315","335,565","1,379,545","1,267,690","24,421,675","559,275","21,662,585","37,285","149,140","37,285","1,267,690","40,976,215","521,990","8,128,130","2,125,245",,"4,213,205","3,392,935","1,826,965","1,006,695","3,131,940"
17.12.2021,11:00,Auction 4. Period DE,T3PA,successful,82.25,50.00,90.00,81.19,82.32,"1,807,500","2,606,000",69,41,3.83,"37,768","144,778","212,275","106,324","191,297",1.44,18,17,"148,666,875",DE,,,,,,"148,666,875",,,,,,,,,,,,,,,,,,,,,,,,,,
16.12.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,80.50,56.00,90.00,80.03,80.43,"2,515,500","3,296,500",71,34,4.44,"46,430","206,031","272,285","179,679","271,782",1.31,16,14,"202,497,750",EU,"2,857,750","4,910,500","8,492,750","764,750","5,313,000",,"2,696,750","2,495,500","9,901,500","24,029,250","3,823,750","13,805,750","1,086,750","563,500","1,247,750","25,679,500",0,"23,868,250",0,"845,250","40,250","603,750","44,556,750","281,750","8,452,500","1,610,000",,"4,991,000","3,622,500","2,052,750","1,288,000","2,616,250"
15.12.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,79.29,56.00,99.99,79.27,79.62,"2,074,000","2,346,000",68,57,3.78,"34,500","130,333","183,943","115,222","181,316",1.13,18,18,"164,447,460",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"164,447,460",,,,,
14.12.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,79.99,56.00,90.00,79.85,80.45,"2,515,500","3,014,500",73,59,4.29,"41,295","177,324","248,473","147,971","233,627",1.20,17,17,"201,214,845",EU,"2,839,645","4,879,390","8,438,945","759,905","5,279,340",,"2,679,665","2,479,690","9,838,770","23,877,015","3,799,525","13,718,285","1,079,865","559,930","1,239,845","25,516,810",0,"23,717,035",0,"839,895","39,995","599,925","44,274,465","279,965","8,398,950","1,599,800",,"4,959,380","3,599,550","2,039,745","1,279,840","2,599,675"
13.12.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,85.00,56.00,95.00,83.98,84.78,"2,515,500","3,697,000",79,27,3.95,"46,797","184,850","202,993","157,219","184,563",1.47,20,16,"213,817,500",EU,"3,017,500","5,185,000","8,967,500","807,500","5,610,000",,"2,847,500","2,635,000","10,455,000","25,372,500","4,037,500","14,577,500","1,147,500","595,000","1,317,500","27,115,000",0,"25,202,500",0,"892,500","42,500","637,500","47,047,500","297,500","8,925,000","1,700,000",,"5,270,000","3,825,000","2,167,500","1,360,000","2,762,500"
10.12.2021,11:00,Auction 4. Period DE,T3PA,successful,79.83,56.00,90.00,79.14,79.85,"1,805,000","2,306,000",70,37,3.33,"32,943","109,810","125,111","112,813","124,030",1.28,21,16,"144,093,150",DE,,,,,,"144,093,150",,,,,,,,,,,,,,,,,,,,,,,,,,
09.12.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,84.93,56.00,100.00,84.09,85.02,"2,515,500","3,489,000",81,48,3.86,"43,074","166,143","195,315","125,775","179,266",1.39,21,20,"213,641,415",EU,"3,015,015","5,180,730","8,960,115","806,835","5,605,380",,"2,845,155","2,632,830","10,446,390","25,351,605","4,034,175","14,565,495","1,146,555","594,510","1,316,415","27,092,670",0,"25,181,745",0,"891,765","42,465","636,975","47,008,755","297,255","8,917,650","1,698,600",,"5,265,660","3,821,850","2,165,715","1,358,880","2,760,225"
