,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
More information,,www.eex.com/en/products/environmental-markets/emissions-auctions/overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,EEX Emissions market / Primary Market Auction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
References,,,,Prices,,,,,Volumes,,,,,,,,,,,Participants,,Revenue,,Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Auction Name,Contract,Auction Price €/tCO2,Minimum Bid €/tCO2,Maximum Bid €/tCO2,Mean €/tCO2,Median €/tCO2,Auction Volume tCO2,Total Amount of Bids,Number of bids submitted,Number of successful bids,Average number of bids per bidder,Average bid size,Average volume bid per bidder,Standard deviation of bid volume per bidder,Average volume won per bidder,Standard deviation of volume won per bidder,Cover Ratio,Total Number of Bidders,Number of Successful Bidders,Total Revenue €,Country,"Austria
(AT)","Belgium
(BE)","Bulgaria
(BG)","Cyprus
(CY)","Czech Republic
(CZ)","Germany
(DE)","Denmark
(DK)","Estonia
(EE)","Greece
(EL)","Spain
(ES)","Finland
(FI)","France
(FR)","Croatia
(HR)","Hungary
(HU)","Ireland
(IE)","Iceland
(IS)","Italy
(IT)","Liechtenstein
(LI)","Lithuania
(LT)","Luxembourg
(LU)","Latvia
(LV)","Malta
(MT)","Netherlands
(NL)","Norway
(NO)","Poland
(PL)","Portugal
(PT)","Romania
(RO)","Sweden
(SE)","Slovenia
(SI)","Slovakia
(SK)","Innovation
Fund"
16.12.2019,11:00,Auction 3. Period CAP2-EU,T3PA,24.21,21.00,26.00,24.09,24.05,"3,013,000","5,333,000",92,19,4.60,"57,967","266,650","391,858","273,909","289,081",1.77,20,11,"72,944,730",EU,"1,658,385","2,590,470","3,716,235","387,360","4,866,210",,"1,319,445","1,416,285","4,188,330","9,163,485","1,973,115","5,616,720","883,665","1,718,910","1,392,075","508,410","9,357,165",0,"798,930","169,470","484,200","133,155","3,280,455","5,761,980",,"2,336,265","5,519,880","1,125,765","714,195","1,864,170",
13.12.2019,11:00,Auction 3. Period DE,T3PA,25.33,24.76,30.00,25.34,25.28,"2,840,000","4,827,000",83,27,4.37,"58,157","254,053","331,093","202,857","276,386",1.70,19,14,"71,937,200",DE,,,,,,"71,937,200",,,,,,,,,,,,,,,,,,,,,,,,,
12.12.2019,11:00,Auction 3. Period CAP2-EU,T3PA,24.62,21.00,26.00,24.48,24.42,"2,744,000","6,226,500",97,18,4.41,"64,191","283,023","413,993","274,400","240,189",2.27,22,10,"67,557,280",EU,"1,354,100","2,634,340","3,249,840","184,650","4,653,180",,"1,231,000","1,070,970","3,717,620","9,072,470","1,612,610","5,268,680","529,330","1,686,470","898,630","283,130","9,454,080",0,"615,500","123,100","307,750","123,100","3,225,220","5,601,050",,"1,883,430","5,539,500","935,560","492,400","1,809,570",
10.12.2019,11:00,Auction 3. Period CAP2-EU,T3PA,24.98,23.99,27.00,25.08,24.96,"2,744,000","5,103,000",102,43,4.25,"50,029","212,625","401,348","137,200","253,407",1.86,24,20,"68,545,120",EU,"1,373,900","2,672,860","3,297,360","187,350","4,721,220",,"1,249,000","1,086,630","3,771,980","9,205,130","1,636,190","5,345,720","537,070","1,711,130","911,770","287,270","9,592,320",0,"624,500","124,900","312,250","124,900","3,272,380","5,682,950",,"1,910,970","5,620,500","949,240","499,600","1,836,030",
09.12.2019,11:00,Auction 3. Period CAP2-EU,T3PA,24.40,21.00,26.00,24.30,24.37,"2,744,000","5,004,000",72,31,4.24,"69,500","294,353","489,700","182,933","270,365",1.82,17,15,"66,953,600",EU,"1,342,000","2,610,800","3,220,800","183,000","4,611,600",,"1,220,000","1,061,400","3,684,400","8,991,400","1,598,200","5,221,600","524,600","1,671,400","890,600","280,600","9,369,600",0,"610,000","122,000","305,000","122,000","3,196,400","5,551,000",,"1,866,600","5,490,000","927,200","488,000","1,793,400",
06.12.2019,11:00,Auction 3. Period DE,T3PA,24.70,21.00,26.00,24.62,24.66,"2,834,500","4,825,000",84,27,4.20,"57,440","241,250","322,738","188,967","203,612",1.70,20,15,"70,012,150",DE,,,,,,"70,012,150",,,,,,,,,,,,,,,,,,,,,,,,,
05.12.2019,11:00,Auction 3. Period CAP2-EU,T3PA,24.50,21.00,26.00,24.47,24.43,"2,744,000","5,354,000",92,29,4.38,"58,196","254,952","396,446","182,933","230,405",1.95,21,15,"67,228,000",EU,"1,347,500","2,621,500","3,234,000","183,750","4,630,500",,"1,225,000","1,065,750","3,699,500","9,028,250","1,604,750","5,243,000","526,750","1,678,250","894,250","281,750","9,408,000",0,"612,500","122,500","306,250","122,500","3,209,500","5,573,750",,"1,874,250","5,512,500","931,000","490,000","1,800,750",
04.12.2019,11:00,Auction 3. Period CAP2-PL,T3PA,24.10,21.00,26.00,23.98,23.93,"4,717,500","9,654,000",102,23,5.10,"94,647","482,700","711,585","524,167","495,642",2.05,20,9,"113,691,750",PL,,,,,,,,,,,,,,,,,,,,,,,,,"113,691,750",,,,,,
