name,literature_label,literature_url,change_summary,aim,expected_low,expected_high,delta_vs_ridge,expectation_result,run_dir,base_mse_path,llm_mse_path,delta_vs_tsm,delta_vs_baseline_llm,h5_delta_vs_baseline,h20_delta_vs_baseline,h30_delta_vs_baseline,nonzero_count,abs_mean_delta,mean_delta,unique_apply_responses,unique_reflect_responses,apply_samples_used,reflect_samples_used,mean_reflect_valid_samples
step_back_regime,Step-Back Prompting,https://arxiv.org/abs/2310.06117,"Force the reflection stage to infer a higher-level regime first, then map it to horizon decisions.",Improve medium and long-horizon coherence by reasoning at the regime level before local deltas.,21.63,21.78,-0.9353325583469889,beat,/Users/davidwilkinson/Desktop/ETS 2/runs/20260309_234219_249d62,22.72635269165039,21.48462268398948,-1.2417300076609123,-0.2531326682932189,-0.026985819719558712,-0.38014870793091404,-0.6639473275855892,4076,0.31405790377469006,0.24893922693115014,25,142,1,1,1.0
tree_of_thought_consensus,Tree of Thoughts,https://arxiv.org/abs/2305.10601,Sample three reflection plans at non-zero temperature and aggregate them conservatively before apply.,Search over multiple horizon plans and keep only consensus structure that survives aggregation.,21.5,21.7,-0.6464783810775465,missed,/Users/davidwilkinson/Desktop/ETS 2/runs/20260310_015255_fe3d9e,22.72635269165039,21.77347686125892,-0.95287583039147,0.035721508976223504,-0.006138702609936431,0.1295995549082143,-0.3450571110389262,3894,0.23168006883709452,0.1383984636198881,66,144,1,3,3.0
react_evidence,ReAct,https://arxiv.org/abs/2210.03629,Use an explicit observe-reason-act structure over the matched-example evidence.,Tighten the link between retrieved evidence and bounded horizon actions.,21.6,21.75,-0.6114505601528322,missed,/Users/davidwilkinson/Desktop/ETS 2/runs/20260310_004631_fa08f9,22.72635269165039,21.808504682183635,-0.9178480094667556,0.07074932990093785,0.019544004896858702,0.25461438198268027,-0.2641656538884263,3885,0.2923677971539382,0.23099257144417332,22,141,1,1,1.0
skeleton_then_fill,Skeleton-of-Thought,https://arxiv.org/abs/2307.15337,Separate the action skeleton from the sign and magnitude fill-in step.,Reduce over-adjustment by deciding freeze-versus-adjust structure before sizing any move.,21.66,21.8,-0.48858240652988627,missed,/Users/davidwilkinson/Desktop/ETS 2/runs/20260310_000350_ae6ed8,22.72635269165039,21.93137283580658,-0.7949798558438097,0.19361748352388375,-0.015348158342171736,0.3194358316918162,0.1311676237867232,3742,0.2138411832039061,0.15162043357756996,44,144,1,1,1.0
chain_of_verification,Chain-of-Verification,https://arxiv.org/abs/2309.11495,Require each horizon decision to be verified against the matched examples before adjustment.,Suppress hallucinated sign changes and keep only evidence-backed horizon moves.,21.58,21.72,-0.3285971065995099,missed,/Users/davidwilkinson/Desktop/ETS 2/runs/20260309_232110_9c5a01,22.72635269165039,22.091358135736957,-0.6349945559134333,0.3536027834542601,0.0033469585924539302,0.5579727679378834,0.7169478295550746,2148,0.13153974649081954,0.13153974649081954,8,142,1,1,1.0
self_refine_verifier,Self-Refine,https://arxiv.org/abs/2303.17651,Add an explicit internal critique-and-revise reflection contract plus a verifier-style numeric apply step.,Reduce unsupported horizon moves by forcing the model to criticize its own first-pass plan before output.,21.6,21.74,-0.046132315765770926,missed,/Users/davidwilkinson/Desktop/ETS 2/runs/20260309_225959_77b289,22.72635269165039,22.373822926570696,-0.35252976507969436,0.6360675742879991,-0.09259684537168233,1.0794046190191509,1.470615498040651,1447,0.0756703574408201,0.07455462225317183,17,144,1,1,1.0
self_rag_critique,Self-RAG,https://arxiv.org/abs/2310.11511,"Make the model retrieve the strongest matched-example evidence, critique it, then decide.",Improve robustness by filtering adjustments through an evidence-sufficiency check rather than direct prompting alone.,21.55,21.71,0.03948706935729973,missed,/Users/davidwilkinson/Desktop/ETS 2/runs/20260310_013116_610e74,22.72635269165039,22.459442311693767,-0.2669103799566237,0.7216869594110698,-0.008704747831724369,1.2490466589971803,1.5238039487717572,1293,0.08031151568480445,0.08031151568480445,11,143,1,1,1.0
self_ask_horizons,Self-Ask,https://arxiv.org/abs/2210.03350,Break the reflection stage into explicit horizon-level self-questions before output.,Make the h5 and h20 decisions more deliberate and less coupled to the dominant long-horizon narrative.,21.64,21.79,0.06712297656603994,missed,/Users/davidwilkinson/Desktop/ETS 2/runs/20260310_002543_0788b3,22.72635269165039,22.487078218902507,-0.2392744727478835,0.74932286661981,0.008412525764478929,1.2248889418904234,1.619490210154403,529,0.027356809857450603,0.024614081063682357,10,142,1,1,1.0
debate_consensus,Multi-Agent Debate,https://arxiv.org/abs/2305.19118,Sample three reflection drafts under an internal debate contract and aggregate only the conservative consensus.,Retain only the horizon decisions that survive a skeptic-versus-adjuster conflict.,21.52,21.72,0.27771082016532844,missed,/Users/davidwilkinson/Desktop/ETS 2/runs/20260310_024112_8ec996,22.72635269165039,22.697666062501796,-0.02868662914859499,0.9599107102190985,0.0040837849644494995,1.5521207577565974,2.055495690230373,75,0.0034586127887536945,0.0034586127887536945,2,144,1,3,3.0
rarr_attribution,RARR,https://arxiv.org/abs/2210.08726,Force explicit evidence attribution in horizon reasons and use a citation-sensitive apply stage.,Cut unsupported corrections by making every non-zero move justify itself from the matched examples.,21.56,21.72,0.2813578630656757,missed,/Users/davidwilkinson/Desktop/ETS 2/runs/20260310_010806_f8d995,22.72635269165039,22.701313105402143,-0.025039586248247758,0.9635577531194457,-0.024339247916164375,1.5590748731813662,2.01552700862063,296,0.022120808450285325,0.02021870650286296,9,140,1,1,1.0
